service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
WD,1,1,1,1,1,0,0,20150817,20160506
WD6,1,1,1,1,1,0,0,20150817,20160506
WDF,1,1,1,1,0,0,0,20150817,20160506
WD_ISU,1,1,1,1,1,0,0,20150817,20160506
WDF_ISU,1,1,1,1,0,0,0,20150817,20160506
WD_MLK,1,1,1,1,1,0,0,20150817,20160506
WD_1A,1,1,1,1,1,0,0,20150817,20160506
MLX,0,0,0,0,1,1,0,20150817,20160506
SA,0,0,0,0,0,1,0,20150817,20160506
SA6,0,0,0,0,0,1,0,20150817,20160506
SA_ISU,0,0,0,0,0,1,0,20150817,20160506
SU,0,0,0,0,0,0,1,20150817,20160506
SU_ISU,0,0,0,0,0,0,1,20150817,20160506
SLVR,0,0,0,0,0,0,1,20150817,20160506
WDX,0,0,0,0,0,0,0,20150817,20160506
MWF,1,0,1,0,1,0,0,20150817,20160506
TTH,0,1,0,1,0,0,0,20150817,20160506
WD_ORN,1,1,1,1,0,0,0,20150817,20160506
WD_6A,1,1,1,1,1,0,0,20150817,20160506
