service_id,date,exception_type
WDF_ISU,20150817,2
WD_ISU,20150817,2
WDF_ISU,20150818,2
WD_ISU,20150818,2
WDF_ISU,20150819,2
WD_ISU,20150819,2
WDF_ISU,20150820,2
WD_ISU,20150820,2
WD_ISU,20150821,2
MLX,20150821,2
MLX,20150822,2
WDF_ISU,20150907,2
WDF,20150907,2
WD6,20150907,2
WD_ORN,20150907,2
WD_MLK,20150907,2
WD_ISU,20150907,2
WD_6A,20150907,2
WD_1A,20150907,2
WD,20150907,2
MWF,20150907,2
MLX,20151120,2
SA_ISU,20151121,2
MLX,20151121,2
SU_ISU,20151122,2
SLVR,20151122,2
WDF_ISU,20151123,2
WD_ORN,20151123,2
WD_MLK,20151123,2
WD_ISU,20151123,2
WD_6A,20151123,2
WD_1A,20151123,2
MWF,20151123,2
WDF_ISU,20151124,2
WD_ORN,20151124,2
WD_MLK,20151124,2
WD_ISU,20151124,2
WD_6A,20151124,2
WD_1A,20151124,2
TTH,20151124,2
WDF_ISU,20151125,2
WD_ORN,20151125,2
WD_MLK,20151125,2
WD_ISU,20151125,2
WD_6A,20151125,2
WD_1A,20151125,2
MWF,20151125,2
WDF_ISU,20151126,2
WDF,20151126,2
WD6,20151126,2
WD_ORN,20151126,2
WD_MLK,20151126,2
WD_ISU,20151126,2
WD_6A,20151126,2
WD_1A,20151126,2
WD,20151126,2
TTH,20151126,2
WD6,20151127,2
WD_MLK,20151127,2
WD_ISU,20151127,2
WD_6A,20151127,2
WD_1A,20151127,2
WD,20151127,2
SA6,20151127,1
SA,20151127,1
MWF,20151127,2
MLX,20151127,2
SA_ISU,20151128,2
MLX,20151128,2
SU_ISU,20151129,2
MLX,20151218,2
SA_ISU,20151219,2
MLX,20151219,2
SU_ISU,20151220,2
SLVR,20151220,2
WDF_ISU,20151221,2
WD_ORN,20151221,2
WD_MLK,20151221,2
WD_ISU,20151221,2
WD_6A,20151221,2
WD_1A,20151221,2
MWF,20151221,2
WDF_ISU,20151222,2
WD_ORN,20151222,2
WD_MLK,20151222,2
WD_ISU,20151222,2
WD_6A,20151222,2
WD_1A,20151222,2
TTH,20151222,2
WDF_ISU,20151223,2
WD_ORN,20151223,2
WD_MLK,20151223,2
WD_ISU,20151223,2
WD_6A,20151223,2
WD_1A,20151223,2
MWF,20151223,2
WDF_ISU,20151224,2
WDF,20151224,2
WD6,20151224,2
WD_ORN,20151224,2
WD_MLK,20151224,2
WD_ISU,20151224,2
WD_6A,20151224,2
WD_1A,20151224,2
WD,20151224,2
TTH,20151224,2
SA,20151224,1
WD6,20151225,2
WD_MLK,20151225,2
WD_ISU,20151225,2
WD_6A,20151225,2
WD_1A,20151225,2
WD,20151225,2
MWF,20151225,2
MLX,20151225,2
SA_ISU,20151226,2
MLX,20151226,2
SU_ISU,20151227,2
SLVR,20151227,2
WDF_ISU,20151228,2
WD_ORN,20151228,2
WD_MLK,20151228,2
WD_ISU,20151228,2
WD_6A,20151228,2
WD_1A,20151228,2
MWF,20151228,2
WDF_ISU,20151229,2
WD_ORN,20151229,2
WD_MLK,20151229,2
WD_ISU,20151229,2
WD_6A,20151229,2
WD_1A,20151229,2
TTH,20151229,2
WDF_ISU,20151230,2
WD_ORN,20151230,2
WD_MLK,20151230,2
WD_ISU,20151230,2
WD_6A,20151230,2
WD_1A,20151230,2
MWF,20151230,2
WDF_ISU,20151231,2
WD6,20151231,2
WD_ORN,20151231,2
WD_MLK,20151231,2
WD_ISU,20151231,2
WD_6A,20151231,2
WD_1A,20151231,2
TTH,20151231,2
WD6,20160101,2
WD_MLK,20160101,2
WD_ISU,20160101,2
WD_6A,20160101,2
WD_1A,20160101,2
WD,20160101,2
MWF,20160101,2
MLX,20160101,2
SA_ISU,20160102,2
MLX,20160102,2
SU_ISU,20160103,2
SLVR,20160103,2
WDF_ISU,20160104,2
WD_ORN,20160104,2
WD_MLK,20160104,2
WD_ISU,20160104,2
WD_6A,20160104,2
WD_1A,20160104,2
MWF,20160104,2
WDF_ISU,20160105,2
WD_ORN,20160105,2
WD_MLK,20160105,2
WD_ISU,20160105,2
WD_6A,20160105,2
WD_1A,20160105,2
TTH,20160105,2
WDF_ISU,20160106,2
WD_ORN,20160106,2
WD_MLK,20160106,2
WD_ISU,20160106,2
WD_6A,20160106,2
WD_1A,20160106,2
MWF,20160106,2
WDF_ISU,20160107,2
WD_ORN,20160107,2
WD_MLK,20160107,2
WD_ISU,20160107,2
WD_6A,20160107,2
WD_1A,20160107,2
TTH,20160107,2
WD_MLK,20160108,2
WD_ISU,20160108,2
WD_6A,20160108,2
WD_1A,20160108,2
MWF,20160108,2
MLX,20160108,2
SA_ISU,20160109,2
MLX,20160109,2
SU_ISU,20160110,2
SLVR,20160117,2
WDF_ISU,20160118,2
WD_ORN,20160118,2
WD_ISU,20160118,2
WD_6A,20160118,2
WD_1A,20160118,2
SLVR,20160118,1
MWF,20160118,2
MLX,20160311,2
SA_ISU,20160312,2
MLX,20160312,2
SU_ISU,20160313,2
SLVR,20160313,2
WDF_ISU,20160314,2
WD_ORN,20160314,2
WD_MLK,20160314,2
WD_ISU,20160314,2
WD_6A,20160314,2
WD_1A,20160314,2
