shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SH1APM,42.012289,-93.671421,1, 
SH1APM,42.01203,-93.671435,2, 
SH1APM,42.012032,-93.6716,3, 
SH1APM,42.012074,-93.67362,4, 
SH1APM,42.01207,-93.674926,5, 
SH1APM,42.012082,-93.676292,6, 
SH1APM,42.012087,-93.67865,7, 
SH1APM,42.012134,-93.680179,8, 
SH1APM,42.012263,-93.681806,9, 
SH1APM,42.013208,-93.681484,10, 
SH1APM,42.014092,-93.681135,11, 
SH1APM,42.01447,-93.680987,12, 
SH1APM,42.014655,-93.680944,13, 
SH1APM,42.014605,-93.680415,14, 
SH1APM,42.014599,-93.679512,15, 
SH1APM,42.014586,-93.678669,16, 
SH1APM,42.014721,-93.678668,17, 
SH1APM,42.017021,-93.678703,18, 
SH1APM,42.022899,-93.678693,19, 
SH1APM,42.022901,-93.677172,20, 
SH1APM,42.022884,-93.675742,21, 
SH1APM,42.022863,-93.673228,22, 
SH1APM,42.022856,-93.671392,23, 
SH1APM,42.022797,-93.668942,24, 
SH1APM,42.022792,-93.667105,25, 
SH1APM,42.022826,-93.666889,26, 
SH1APM,42.022826,-93.666696,27, 
SH1APM,42.022766,-93.661605,28, 
SH1APM,42.02274,-93.659103,29, 
SH1APM,42.022735,-93.658456,30, 
SH1APM,42.022728,-93.657037,31, 
SH1APM,42.022729,-93.655596,32, 
SH1APM,42.022845,-93.655594,33, 
SH1APM,42.025337,-93.655649,34, 
SH1APM,42.025353,-93.654994,35, 
SH1APM,42.02536,-93.654302,36, 
SH1APM,42.025364,-93.654121,37, 
SH1APM,42.025366,-93.652875,38, 
SH1APM,42.025361,-93.651918,39, 
SH1APM,42.028892,-93.651894,40, 
SH1APM,42.02953,-93.651897,41, 
SH1APM,42.030417,-93.651906,42, 
SH1APM,42.030434,-93.651563,43, 
SH1APM,42.030514,-93.650891,44, 
SH1APM,42.030525,-93.650289,45, 
SH1APM,42.030522,-93.647969,46, 
SH1APM,42.030519,-93.646889,47, 
SH1APM,42.030513,-93.644655,48, 
SH1APM,42.030553,-93.644298,49, 
SH1APM,42.030538,-93.643948,50, 
SH1APM,42.030519,-93.642475,51, 
SH1APM,42.030506,-93.641551,52, 
SH1APM,42.028931,-93.64151,53, 
SH1APM,42.028879,-93.641513,54, 
SH1APM,42.028893,-93.642851,55, 
SH1APM,42.028888,-93.643715,56, 
SH1APM,42.028891,-93.644462,57, 
SH1AAM,42.012289,-93.671421,1, 
SH1AAM,42.01203,-93.671435,2, 
SH1AAM,42.012032,-93.6716,3, 
SH1AAM,42.012074,-93.67362,4, 
SH1AAM,42.01207,-93.674926,5, 
SH1AAM,42.012082,-93.676292,6, 
SH1AAM,42.012087,-93.67865,7, 
SH1AAM,42.012134,-93.680179,8, 
SH1AAM,42.012263,-93.681806,9, 
SH1AAM,42.013208,-93.681484,10, 
SH1AAM,42.014092,-93.681135,11, 
SH1AAM,42.01447,-93.680987,12, 
SH1AAM,42.014655,-93.680944,13, 
SH1AAM,42.014605,-93.680415,14, 
SH1AAM,42.014599,-93.679512,15, 
SH1AAM,42.014586,-93.678669,16, 
SH1AAM,42.014721,-93.678668,17, 
SH1AAM,42.017021,-93.678703,18, 
SH1AAM,42.022899,-93.678693,19, 
SH1AAM,42.022901,-93.677172,20, 
SH1AAM,42.022884,-93.675742,21, 
SH1AAM,42.022863,-93.673228,22, 
SH1AAM,42.022856,-93.671392,23, 
SH1AAM,42.022797,-93.668942,24, 
SH1AAM,42.022792,-93.667105,25, 
SH1AAM,42.022826,-93.666889,26, 
SH1AAM,42.022826,-93.666696,27, 
SH1AAM,42.022766,-93.661605,28, 
SH1AAM,42.02274,-93.659103,29, 
SH1AAM,42.022735,-93.658456,30, 
SH1AAM,42.022728,-93.657037,31, 
SH1AAM,42.022729,-93.655596,32, 
