trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1008,07:20:00,07:20:00,1193,1, , , , 
1008, , ,1194,2, , , , 
1008, , ,1195,3, , , , 
1008, , ,1196,4, , , , 
1008, , ,1197,5, , , , 
1008, , ,1198,6, , , , 
1008, , ,1199,7, , , , 
1008, , ,1200,8, , , , 
1008, , ,1201,9, , , , 
1008,07:28:00,07:28:00,1202,10, , , , 
1008, , ,1203,11, , , , 
1008, , ,1204,12, , , , 
1008, , ,1205,13, , , , 
1008, , ,1206,14, , , , 
1008, , ,1207,15, , , , 
1008, , ,1208,16, , , , 
1008,07:32:00,07:34:00,1209,17, , , , 
1008, , ,1122,18, , , , 
1008, , ,1123,19, , , , 
1008, , ,1124,20, , , , 
1008,07:37:00,07:39:00,1126,21, , , , 
1012,07:40:00,07:40:00,1193,1, , , , 
1012, , ,1194,2, , , , 
1012, , ,1195,3, , , , 
1012, , ,1196,4, , , , 
1012, , ,1197,5, , , , 
1012, , ,1198,6, , , , 
1012, , ,1199,7, , , , 
1012, , ,1200,8, , , , 
1012, , ,1201,9, , , , 
1012,07:48:00,07:48:00,1202,10, , , , 
1012, , ,1203,11, , , , 
1012, , ,1204,12, , , , 
1012, , ,1205,13, , , , 
1012, , ,1206,14, , , , 
1012, , ,1207,15, , , , 
1012, , ,1208,16, , , , 
1012,07:52:00,07:54:00,1209,17, , , , 
1012, , ,1122,18, , , , 
1012, , ,1123,19, , , , 
1012, , ,1124,20, , , , 
1012,07:57:00,07:59:00,1126,21, , , , 
1016,08:00:00,08:00:00,1193,1, , , , 
1016, , ,1194,2, , , , 
1016, , ,1195,3, , , , 
1016, , ,1196,4, , , , 
1016, , ,1197,5, , , , 
1016, , ,1198,6, , , , 
1016, , ,1199,7, , , , 
1016, , ,1200,8, , , , 
1016, , ,1201,9, , , , 
1016,08:08:00,08:08:00,1202,10, , , , 
1016, , ,1203,11, , , , 
1016, , ,1204,12, , , , 
1016, , ,1205,13, , , , 
1016, , ,1206,14, , , , 
1016, , ,1207,15, , , , 
1016, , ,1208,16, , , , 
1016,08:12:00,08:14:00,1209,17, , , , 
1016, , ,1122,18, , , , 
1016, , ,1123,19, , , , 
1016, , ,1124,20, , , , 
1016,08:17:00,08:19:00,1126,21, , , , 
1020,08:20:00,08:20:00,1193,1, , , , 
1020, , ,1194,2, , , , 
1020, , ,1195,3, , , , 
1020, , ,1196,4, , , , 
1020, , ,1197,5, , , , 
1020, , ,1198,6, , , , 
1020, , ,1199,7, , , , 
1020, , ,1200,8, , , , 
1020, , ,1201,9, , , , 
1020,08:28:00,08:28:00,1202,10, , , , 
1020, , ,1203,11, , , , 
1020, , ,1204,12, , , , 
1020, , ,1205,13, , , , 
1020, , ,1206,14, , , , 
1020, , ,1207,15, , , , 
1020, , ,1208,16, , , , 
1020,08:32:00,08:34:00,1209,17, , , , 
1020, , ,1122,18, , , , 
1020, , ,1123,19, , , , 
1020, , ,1124,20, , , , 
1020,08:37:00,08:39:00,1126,21, , , , 
1024,08:40:00,08:40:00,1193,1, , , , 
1024, , ,1194,2, , , , 
1024, , ,1195,3, , , , 
1024, , ,1196,4, , , , 
1024, , ,1197,5, , , , 
1024, , ,1198,6, , , , 
1024, , ,1199,7, , , , 
1024, , ,1200,8, , , , 
1024, , ,1201,9, , , , 
1024,08:48:00,08:48:00,1202,10, , , , 
1024, , ,1203,11, , , , 
1024, , ,1204,12, , , , 
1024, , ,1205,13, , , , 
1024, , ,1206,14, , , , 
1024, , ,1207,15, , , , 
1024, , ,1208,16, , , , 
1024,08:52:00,08:54:00,1209,17, , , , 
1024, , ,1122,18, , , , 
1024, , ,1123,19, , , , 
1024, , ,1124,20, , , , 
1024,08:57:00,08:59:00,1126,21, , , , 
1026,08:55:00,08:55:00,1193,1, , , , 
1026, , ,1194,2, , , , 
1026, , ,1195,3, , , , 
1026, , ,1196,4, , , , 
1026, , ,1197,5, , , , 
1026, , ,1198,6, , , , 
1026, , ,1199,7, , , , 
1026, , ,1200,8, , , , 
1026, , ,1201,9, , , , 
1026,09:03:00,09:03:00,1202,10, , , , 
1026, , ,1203,11, , , , 
1026, , ,1204,12, , , , 
1026, , ,1205,13, , , , 
1026, , ,1206,14, , , , 
1026, , ,1207,15, , , , 
1026, , ,1208,16, , , , 
1026,09:07:00,09:09:00,1209,17, , , , 
1026, , ,1122,18, , , , 
1026, , ,1123,19, , , , 
1026, , ,1124,20, , , , 
1026,09:12:00,09:14:00,1126,21, , , , 
1030,09:15:00,09:15:00,1193,1, , , , 
1030, , ,1194,2, , , , 
1030, , ,1195,3, , , , 
1030, , ,1196,4, , , , 
1030, , ,1197,5, , , , 
1030, , ,1198,6, , , , 
1030, , ,1199,7, , , , 
1030, , ,1200,8, , , , 
1030, , ,1201,9, , , , 
1030,09:23:00,09:23:00,1202,10, , , , 
1030, , ,1203,11, , , , 
1030, , ,1204,12, , , , 
1030, , ,1205,13, , , , 
1030, , ,1206,14, , , , 
1030, , ,1207,15, , , , 
1030, , ,1208,16, , , , 
1030,09:27:00,09:29:00,1209,17, , , , 
1030, , ,1122,18, , , , 
1030, , ,1123,19, , , , 
1030, , ,1124,20, , , , 
1030,09:32:00,09:34:00,1126,21, , , , 
1032,09:25:00,09:25:00,1193,1, , , , 
1032, , ,1194,2, , , , 
1032, , ,1195,3, , , , 
1032, , ,1196,4, , , , 
1032, , ,1197,5, , , , 
1032, , ,1198,6, , , , 
1032, , ,1199,7, , , , 
1032, , ,1200,8, , , , 
1032, , ,1201,9, , , , 
1032,09:33:00,09:33:00,1202,10, , , , 
1032, , ,1203,11, , , , 
1032, , ,1204,12, , , , 
1032, , ,1205,13, , , , 
1032, , ,1206,14, , , , 
1032, , ,1207,15, , , , 
