stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1001,1001,River Birch Apartments,"Stop is south of River Birch Apartments, on South 5th.",42.017461,-93.612206, , , , 
1002,1002,South Meadow Apartments,"Stop is south of South Meadow Apartments, on South 5th.",42.017475,-93.615118, , , , 
1003,1003,Walnut Ave. at S. 5th St.,"Stop is on the southeast corner of the intersection, on Walnut, at the bus shelter.",42.017871,-93.616694, , , , 
1004,1004,Walnut Ave. at S. 3rd St.,"Stop is at the southeast corner of the intersection, on Walnut, at the bus shelter.",42.019909,-93.61681, , , , 
1005,1005,S. 3rd St. at HyVee, ,42.019673,-93.618971, , , , 
1006,1006,S. 4th St. at Grand Ave., ,42.019377,-93.621303, , , , 
1007,1007,S. 4th St. at S. Maple Ave.,Stop is on the northwest corner of the intersection.,42.01929,-93.625442, , , , 
1008,1008,S. 4th St. at S. Hazel Ave.,Stop is on the northwest corner of the intersection.,42.019284,-93.62704, , , , 
1009,1009,S. 4th St. at University Blvd.,Stop is on the northwest corner of the intersection.,42.01638,-93.632799, , , , 
1010,1010,S. 4th St. at Victory Lane,"Stop is on the north side of South 4th, west of the middle drive of the Iowa State Center.",42.016333,-93.635593, , , , 
1011,1011,S. 4th St. at Beach Ave.,Stop is on the northeast corner of the intersection.,42.016289,-93.63915, , , , 
1012,1012,Beach Ave. at Sunset Dr.,Stop is on the southeast corner of the intersection.,42.02069,-93.639389, , , , 
1013,1013,University Blvd. at Stange Rd.,"Stop is south of the Horse Barns, at the right turn lane on the north side of University.",42.030636,-93.644028, , , , 
1014,1014,Stange Rd. at Fredericksen, ,42.034257,-93.644634, , , , 
1015,1015,100 UV,"Stop is on Stange Rd., northwest of the intersection at Bruner, near the Day Care Center.",42.039228,-93.644696, , , , 
1016,1016,Blankenburg Dr. at Stange Rd., ,42.041556,-93.644322, , , , 
1017,1017,University Village Laundry,"Stop is on the south side of the road, across from the Laundry.",42.041334,-93.642673, , , , 
1018,1018,Stotts Rd. at Blankenburg Dr.,Stop is on the northeast corner of the intersection.,42.041206,-93.640791, , , , 
1019,1019,Stotts Rd. at Edenburn Dr.,Stop is on the southwest corner of the intersection.,42.043017,-93.641185, , , , 
1020,1020,Edenburn Dr. at #27 Schilletter,"Stop is on the west side of the street, across the road from #27 Schilletter",42.044329,-93.640157, , , , 
1021,1021,#40 Schilletter,"Stop is north of #40 Schilletter, on the north side of the road.",42.045218,-93.641974, , , , 
1022,1022,24th St. at Prairie View West, ,42.045388,-93.638776, , , , 
1023,1023,24th St. at Northcrest Dr., ,42.045408,-93.6358, , , , 
1024,1024,24th St. at Hayes Ave., ,42.045467,-93.633135, , , , 
1025,1025,24th St. at Hoover Ave., ,42.045506,-93.629997, , , , 
1026,1026,Northwestern Ave. at 24th St., ,42.0459,-93.625768, , , , 
1027,1027,Northwestern Ave. at 26th, ,42.04749,-93.625824, , , , 
1028,1028,Northwestern Ave. at Johnson St., ,42.049242,-93.627071, , , , 
1029,1029,Northwestern Ave. at 30th St., ,42.050817,-93.627046, , , , 
1030,1030,30th St. at Regency Ct., ,42.050999,-93.625767, , , , 
1031,1031,30th St. at Wal Mart,"Stop is south of Wal-Mart, north of JCPenneys, near the north mall entrance.",42.0511,-93.62237, , , , 
1032,1032,Grand Ave. at 30th St., ,42.051517,-93.620429, , , , 
1033,1033,Northern Lights,"Stop is on Wheeler, at the bus shelter south of the Northern Lights shopping area.",42.054019,-93.622443, , , , 
1034,1034,Roy Key Ave. at Wheeler St., ,42.053241,-93.623515, , , , 
1035,1035,Roy Key Ave. at 30th St., ,42.051484,-93.623456, , , , 
1036,1036,30th St. at Regency Ct., ,42.051205,-93.62603, , , , 
1037,1037,Northwestern Ave. at 30th St., ,42.050695,-93.627294, , , , 
1038,1038,Northwestern Ave. at Johnson St., ,42.048758,-93.6271, , , , 
1039,1039,Northwestern Ave. at 26th St., ,42.047174,-93.62599, , , , 
1040,1040,24th St. at Northwestern Ave., ,42.045712,-93.626307, , , , 
1041,1041,24th St. at Hoover Ave., ,42.045654,-93.630841, , , , 
1042,1042,24th St. at Hayes Ave., ,42.045629,-93.633935, , , , 
1043,1043,24th St. at Northcrest Dr., ,42.045584,-93.635568, , , , 
1044,1044,24th St. at Kent Ave., ,42.045535,-93.639139, , , , 
1045,1045,Edenburn Dr. at #40 Schilletter,"Stop is south of #40 Schilletter, on the south side of the road, at the Bus Stop stencil.",42.045035,-93.642099, , , , 
