from_stop_id,to_stop_id,transfer_type,min_transfer_time
1211,1211,1, 
1174,1174,1, 
1211,1174,1, 
1174,1211,1, 
1176,1176,1, 
1210,1210,1, 
1176,1210,1, 
1210,1176,1, 
1209,1209,1, 
1177,1177,1, 
1209,1177,1, 
1177,1209,1, 
1088,1088,1, 
1126,1126,1, 
1088,1126,1, 
1126,1088,1, 
1166,1166,1, 
1221,1221,1, 
1166,1221,1, 
1221,1166,1, 
1150,1150,1, 
1065,1364,1, 
1065,1341,1, 
1364,1065,1, 
1341,1065,1, 
1010,1010,1, 
1057,1057,1, 
1010,1057,1, 
1057,1010,1, 
1279,1171,1, 
1279,1215,1, 
1171,1279,1, 
1215,1279,1, 
1269,1171,1, 
1269,1215,1, 
1171,1269,1, 
1215,1269,1, 
1322,1322,1, 
1322,1333,1, 
1333,1322,1, 
1361,1413,1, 
1413,1361,1, 
1122,1092,1, 
1092,1122,1, 
1090,1124,1, 
1124,1090,1, 
1090,1090,1, 
1124,1124,1, 
1175,1211,1, 
1268,1268,1, 
1280,1280,1, 
1268,1280,1, 
1280,1268,1, 
