route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1A,WD_1A,1008,Kildee / Bessey,1,1029,SH1AAM,1,1
1A,WD_1A,1012,Kildee / Bessey,1,1030,SH1AAM,1,1
1A,WD_1A,1016,Kildee / Bessey,1,1010,SH1AAM,1,1
1A,WD_1A,1020,Kildee / Bessey,1,1029,SH1AAM,1,1
1A,WD_1A,1024,Kildee / Bessey,1,1030,SH1AAM,1,1
1A,WD_1A,1026,Kildee / Bessey,1,1011,SH1AAM,1,1
1A,WD_1A,1030,Kildee / Bessey,1,1015,SH1AAM,1,1
1A,WD_1A,1032,Kildee / Bessey,1,1029,SH1AAM,1,1
1A,WD_1A,1036,Kildee / Bessey,1,1011,SH1AAM,1,1
1A,WD_1A,1038,Kildee / Bessey,1,1030,SH1AAM,1,1
1A,WD_1A,1042,Kildee / Bessey,1,1032,SH1AAM,1,1
1A,WD_1A,1044,Kildee / Bessey,1,1033,SH1AAM,1,1
1A,WD_1A,1048,Kildee / Bessey,1,1011,SH1AAM,1,1
1A,WD_1A,1050,Kildee / Bessey,1,1034,SH1AAM,1,1
1A,WD_1A,1054,Kildee / Bessey,1,1032,SH1AAM,1,1
1A,WD_1A,1056,Kildee / Bessey,1,1033,SH1AAM,1,1
1A,WD_1A,1060,Kildee / Bessey,1,1034,SH1APM,1,1
1A,WD_1A,1064,Kildee / Bessey,1,1035,SH1APM,1,1
1A,WD_1A,1068,Kildee / Bessey,1,1033,SH1APM,1,1
1A,WD_1A,1072,Kildee / Bessey,1,1034,SH1APM,1,1
1A,WD_1A,1076,Kildee / Bessey,1,1035,SH1APM,1,1
1A,WD_1A,1080,Kildee / Bessey,1,1033,SH1APM,1,1
1A,WD_1A,1084,Kildee / Bessey,1,1034,SH1APM,1,1
1A,WD_1A,1088,Kildee / Bessey,1,1035,SH1APM,1,1
1A,WD_1A,1092,Kildee / Bessey,1,1033,SH1APM,1,1
1A,WD_1A,1096,Kildee / Bessey,1,1034,SH1APM,1,1
1A,WD_1A,1100,Kildee / Bessey,1,1035,SH1APM,1,1
1A,WD_1A,1104,Kildee / Bessey,1,1036,SH1APM,1,1
1A,WD_1A,1108,Kildee / Bessey,1,1034,SH1APM,1,1
1A,WD_1A,1112,Kildee / Bessey,1,1035,SH1APM,1,1
1A,WD_1A,1116,Kildee / Bessey,1,1036,SH1APM,1,1
1A,WD_1A,1120,Kildee / Bessey,1,1038,SH1APM,1,1
1A,WD_1A,1124,Kildee / Bessey,1,1035,SH1APM,1,1
1A,WD_1A,1128,Kildee / Bessey,1,1036,SH1APM,1,1
1A,WD_1A,1132,Kildee / Bessey,1,1038,SH1APM,1,1
1A,WD_1A,1136,Kildee / Bessey,1,1039,SH1APM,1,1
1A,WD_1A,1140,Kildee / Bessey,1,1036,SH1APM,1,1
1A,WD_1A,1144,Kildee / Bessey,1,1038,SH1APM,1,1
1E,WD,1002,Mall via Hospital,1,1015,SH1E,1,1
1E,WD,1004,Mall via Hospital,1,1003,SH1E,1,1
1E,WD,1006,Mall via Hospital,1,1005,SH1E,1,1
1E,WD,1010,Mall via Hospital,1,1009,SH1E,1,1
1E,WD,1014,Mall via Hospital,1,1016,SH1E,1,1
1E,WD,1018,Mall via Hospital,1,1001,SH1E,1,1
1E,WD,1022,Mall via Hospital,1,1006,SH1E,1,1
1E,WD,1028,Mall via Hospital,1,1010,SH1E,1,1
1E,WD,1034,Mall via Hospital,1,1002,SH1E,1,1
1E,WD,1040,Mall via Hospital,1,1008,SH1E,1,1
1E,WD,1046,Mall via Hospital,1,1009,SH1E,1,1
1E,WD,1052,Mall via Hospital,1,1001,SH1E,1,1
1E,WD,1058,Mall via Hospital,1,1007,SH1E,1,1
1E,WD,1062,Mall via Hospital,1,1021,SH1E,1,1
1E,WD,1066,Mall via Hospital,1,1010,SH1E,1,1
1E,WD,1070,Mall via Hospital,1,1025,SH1E,1,1
1E,WD,1074,Mall via Hospital,1,1003,SH1E,1,1
1E,WD,1078,Mall via Hospital,1,1019,SH1E,1,1
1E,WD,1082,Mall via Hospital,1,1005,SH1E,1,1
1E,WD,1086,Mall via Hospital,1,1022,SH1E,1,1
1E,WD,1090,Mall via Hospital,1,1014,SH1E,1,1
1E,WD,1094,Mall via Hospital,1,1026,SH1E,1,1
1E,WD,1098,Mall via Hospital,1,1004,SH1E,1,1
1E,WD,1102,Mall via Hospital,1,1020,SH1E,1,1
1E,WD,1106,Mall via Hospital,1,1006,SH1E,1,1
1E,WD,1110,Mall via Hospital,1,1021,SH1E,1,1
1E,WD,1114,Mall via Hospital,1,1013,SH1E,1,1
1E,WD,1118,Mall via Hospital,1,1027,SH1E,1,1
1E,WD,1122,Mall via Hospital,1,1002,SH1E,1,1
1E,WD,1126,Mall via Hospital,1,1037,SH1E,1,1
