service_id,date,exception_type
FULL,20150907,2
FULL,20151126,2
FULL,20151225,2
FULL,20160101,2
FULL,20160530,2
FULL,20160704,2
C,20151127,1
C,20151224,1
C,20151228,1
C,20151229,1
C,20151230,1
C,20151231,1
A,20150907,2
A,20151012,2
A,20151013,2
A,20151125,2
A,20151126,2
A,20151127,2
A,20151211,2
A,20151221,2
A,20151222,2
A,20151223,2
A,20151224,2
A,20151225,2
A,20151226,2
A,20151228,2
A,20151229,2
A,20151230,2
A,20151231,2
A,20160101,2
A,20160104,2
A,20160105,2
A,20160106,2
A,20160107,2
A,20160108,2
A,20160111,2
A,20160112,2
A,20160113,2
A,20160114,2
A,20160115,2
A,20160118,2
A,20160314,2
A,20160315,2
A,20160316,2
A,20160317,2
A,20160318,2
A,20160513,2
B,20150801,1
B,20150803,1
B,20150804,1
B,20150805,1
B,20150806,1
B,20150807,1
B,20150808,1
B,20150810,1
B,20150811,1
B,20150812,1
B,20150813,1
B,20150814,1
B,20150815,1
B,20150817,1
B,20150818,1
B,20150819,1
B,20150820,1
B,20150821,1
B,20150822,1
B,20151012,1
B,20151013,1
B,20151125,1
B,20151211,1
B,20151221,1
B,20151222,1
B,20151223,1
B,20151224,1
B,20151228,1
B,20151229,1
B,20151230,1
B,20151231,1
B,20160104,1
B,20160105,1
B,20160106,1
B,20160107,1
B,20160108,1
B,20160111,1
B,20160112,1
B,20160113,1
B,20160114,1
B,20160115,1
B,20160118,1
B,20160314,1
B,20160315,1
B,20160316,1
B,20160317,1
B,20160318,1
B,20160513,1
B,20160530,2
B,20160704,2
MR,20150907,2
MR,20151012,2
MR,20151013,2
MR,20151125,2
MR,20151126,2
MR,20151221,2
MR,20151222,2
MR,20151223,2
MR,20151224,2
MR,20151228,2
MR,20151229,2
MR,20151230,2
MR,20151231,2
MR,20160104,2
MR,20160105,2
MR,20160106,2
MR,20160107,2
MR,20160111,2
MR,20160112,2
MR,20160113,2
MR,20160114,2
MR,20160118,2
MR,20160314,2
MR,20160315,2
MR,20160316,2
MR,20160317,2
F,20151127,2
F,20151211,2
F,20151225,2
F,20160101,2
F,20160108,2
F,20160115,2
F,20160318,2
F,20160513,2
NC,20151012,1
NC,20151013,1
NC,20151125,1
NC,20151211,1
NC,20151221,1
NC,20151222,1
NC,20151223,1
NC,20160104,1
NC,20160105,1
NC,20160106,1
NC,20160107,1
NC,20160108,1
NC,20160111,1
NC,20160112,1
NC,20160113,1
NC,20160114,1
NC,20160115,1
NC,20160314,1
NC,20160315,1
NC,20160316,1
NC,20160317,1
NC,20160318,1
NC,20160513,1
NC,20160530,2
NC,20160704,2
