shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP_1_LOOP,38.970942,-95.237056,1,
SHP_1_LOOP,38.97125,-95.237099,2,
SHP_1_LOOP,38.971254,-95.232405,3,
SHP_1_LOOP,38.963784,-95.232378,4,
SHP_1_LOOP,38.963793,-95.223527,5,
SHP_1_LOOP,38.960003,-95.223519,6,
SHP_1_LOOP,38.957001,-95.223541,7,
SHP_1_LOOP,38.949951,-95.223451,8,
SHP_1_LOOP,38.949995,-95.214195,9,
SHP_1_LOOP,38.942693,-95.214161,10,
SHP_1_LOOP,38.938633,-95.214154,11,
SHP_1_LOOP,38.938616,-95.213703,12,
SHP_1_LOOP,38.936496,-95.213746,13,
SHP_1_LOOP,38.935628,-95.214432,14,
SHP_1_LOOP,38.935411,-95.214432,15,
SHP_1_LOOP,38.935311,-95.223423,16,
SHP_1_LOOP,38.935311,-95.223423,17,
SHP_1_LOOP,38.942706,-95.223414,18,
SHP_1_LOOP,38.949951,-95.223451,19,
SHP_1_LOOP,38.94997,-95.225772,20,
SHP_1_LOOP,38.950021,-95.230589,21,
SHP_1_LOOP,38.950033,-95.231949,22,
SHP_1_LOOP,38.950131,-95.232772,23,
SHP_1_LOOP,38.950935,-95.232803,24,
SHP_1_LOOP,38.957035,-95.232855,25,
SHP_1_LOOP,38.957361,-95.232775,26,
SHP_1_LOOP,38.957761,-95.232443,27,
SHP_1_LOOP,38.957995,-95.232373,28,
SHP_1_LOOP,38.958178,-95.232373,29,
SHP_1_LOOP,38.963784,-95.232368,30,
SHP_1_LOOP,38.963793,-95.237077,31,
SHP_1_LOOP,38.970942,-95.237056,32,
SHP_3_FLEX,38.978862,-95.249965,1,
SHP_3_FLEX,38.976943,-95.249956,2,
SHP_3_FLEX,38.976946,-95.247599,3,
SHP_3_FLEX,38.973156,-95.247593,4,
SHP_3_FLEX,38.973156,-95.239432,5,
SHP_3_FLEX,38.96751739,-95.23942888,6,
SHP_3_FLEX,38.967525,-95.237112,7,
SHP_3_FLEX,38.970942,-95.237056,8,
SHP_3_FLEX,38.97125,-95.237099,9,
SHP_3_FLEX,38.97125,-95.238279,10,
SHP_3_FLEX,38.973159,-95.23827,11,
SHP_3_FLEX,38.973156,-95.247593,12,
SHP_3_FLEX,38.976946,-95.247599,13,
SHP_3_FLEX,38.976943,-95.249956,14,
SHP_3_FLEX,38.978862,-95.249965,15,
SHP_4_SB,38.990313,-95.234885,1,
SHP_4_SB,38.989816,-95.234922,2,
SHP_4_SB,38.989843,-95.233609,3,
SHP_4_SB,38.989698,-95.23333,4,
SHP_4_SB,38.988838,-95.23331,5,
SHP_4_SB,38.988508,-95.233329,6,
SHP_4_SB,38.988123,-95.233392,7,
SHP_4_SB,38.987708,-95.233481,8,
SHP_4_SB,38.987349,-95.233587,9,
SHP_4_SB,38.987169,-95.23365,10,
SHP_4_SB,38.986641,-95.233862,11,
SHP_4_SB,38.986066,-95.234141,12,
SHP_4_SB,38.985012,-95.234675,13,
SHP_4_SB,38.984589,-95.234877,14,
SHP_4_SB,38.984099,-95.235084,15,
SHP_4_SB,38.983624,-95.235221,16,
SHP_4_SB,38.983041,-95.235317,17,
SHP_4_SB,38.982424,-95.235338,18,
SHP_4_SB,38.982384,-95.223885,19,
SHP_4_SB,38.98077,-95.223869,20,
SHP_4_SB,38.979402,-95.224052,21,
SHP_4_SB,38.978965,-95.224051,22,
SHP_4_SB,38.978574,-95.224172,23,
SHP_4_SB,38.977826,-95.224274,24,
SHP_4_SB,38.977792,-95.235311,25,
SHP_4_SB,38.977486,-95.235338,26,
SHP_4_SB,38.97685,-95.235549,27,
SHP_4_SB,38.973313,-95.237051,28,
SHP_4_SB,38.97313,-95.237108,29,
SHP_4_SB,38.96939,-95.237094,30,
SHP_4_SB,38.967525,-95.237112,31,
SHP_4_SB,38.967521,-95.250568,32,
SHP_4_SB,38.967485,-95.258922,33,
SHP_4_SB,38.967512,-95.25916,34,
SHP_4_SB,38.967599,-95.259375,35,
SHP_4_SB,38.967791,-95.259612,36,
SHP_4_SB,38.967894,-95.25977,37,
SHP_4_SB,38.967942,-95.259923,38,
SHP_4_SB,38.967957,-95.260087,39,
SHP_4_SB,38.967949,-95.26043,40,
SHP_4_SB_1ST,38.96939,-95.237094,1,
SHP_4_SB_1ST,38.967525,-95.237112,2,
SHP_4_SB_1ST,38.967521,-95.250568,3,
SHP_4_SB_1ST,38.967485,-95.258922,4,
SHP_4_SB_1ST,38.967512,-95.25916,5,
SHP_4_SB_1ST,38.967599,-95.259375,6,
SHP_4_SB_1ST,38.967791,-95.259612,7,
SHP_4_SB_1ST,38.967894,-95.25977,8,
SHP_4_SB_1ST,38.967942,-95.259923,9,
SHP_4_SB_1ST,38.967957,-95.260087,10,
SHP_4_SB_1ST,38.967949,-95.26043,11,
SHP_4_NB,38.967949,-95.26043,1,
SHP_4_NB,38.96423068,-95.26043773,2,
SHP_4_NB,38.96426405,-95.26166081,3,
SHP_4_NB,38.96429742,-95.2621758,4,
SHP_4_NB,38.96464778,-95.26333451,5,
SHP_4_NB,38.96466447,-95.26391387,6,
SHP_4_NB,38.9679011,-95.26393533,7,
SHP_4_NB,38.967949,-95.26043,8,
SHP_4_NB,38.967957,-95.260087,9,
SHP_4_NB,38.967942,-95.259923,10,
SHP_4_NB,38.967894,-95.25977,11,
SHP_4_NB,38.967791,-95.259612,12,
SHP_4_NB,38.967599,-95.259375,13,
SHP_4_NB,38.967512,-95.25916,14,
SHP_4_NB,38.967485,-95.258922,15,
SHP_4_NB,38.967521,-95.250568,16,
SHP_4_NB,38.967525,-95.237112,17,
SHP_4_NB,38.970942,-95.237056,18,
SHP_4_NB,38.97125,-95.237099,19,
SHP_4_NB,38.971246,-95.234717,20,
SHP_4_NB,38.972727,-95.234722,21,
SHP_4_NB,38.972883,-95.234778,22,
SHP_4_NB,38.972965,-95.234848,23,
SHP_4_NB,38.973049,-95.234976,24,
SHP_4_NB,38.973103,-95.235143,25,
SHP_4_NB,38.973116,-95.235324,26,
SHP_4_NB,38.973124,-95.236042,27,
SHP_4_NB,38.977,-95.235417,28,
SHP_4_NB,38.977486,-95.235338,29,
SHP_4_NB,38.977792,-95.235311,30,
SHP_4_NB,38.977826,-95.224274,31,
SHP_4_NB,38.978574,-95.224172,32,
SHP_4_NB,38.978965,-95.224051,33,
SHP_4_NB,38.979402,-95.224052,34,
SHP_4_NB,38.98077,-95.223869,35,
SHP_4_NB,38.982384,-95.223885,36,
SHP_4_NB,38.982424,-95.235338,37,
SHP_4_NB,38.983041,-95.235317,38,
SHP_4_NB,38.983624,-95.235221,39,
SHP_4_NB,38.984099,-95.235084,40,
SHP_4_NB,38.984589,-95.234877,41,
SHP_4_NB,38.985012,-95.234675,42,
SHP_4_NB,38.986066,-95.234141,43,
SHP_4_NB,38.986641,-95.233862,44,
SHP_4_NB,38.987169,-95.23365,45,
SHP_4_NB,38.987349,-95.233587,46,
SHP_4_NB,38.987708,-95.233481,47,
SHP_4_NB,38.988123,-95.233392,48,
SHP_4_NB,38.988508,-95.233329,49,
SHP_4_NB,38.988838,-95.23331,50,
SHP_4_NB,38.991501,-95.233379,51,
SHP_4_NB,38.990313,-95.234885,52,
SHP_4_NB,38.991468,-95.234798,53,
SHP_5_EB,38.928152,-95.258391,1,
SHP_5_EB,38.928189,-95.255054,2,
SHP_5_EB,38.924589,-95.255012,3,
SHP_5_EB,38.924575,-95.260544,4,
SHP_5_EB,38.924573,-95.261748,5,
SHP_5_EB,38.925274,-95.261752,6,
SHP_5_EB,38.925426,-95.261722,7,
SHP_5_EB,38.925574,-95.261619,8,
SHP_5_EB,38.925718,-95.261503,9,
SHP_5_EB,38.925902,-95.261457,10,
SHP_5_EB,38.926277,-95.26146,11,
SHP_5_EB,38.926471,-95.261514,12,
SHP_5_EB,38.926627,-95.261656,13,
SHP_5_EB,38.926717,-95.261836,14,
SHP_5_EB,38.926755,-95.262076,15,
SHP_5_EB,38.926754,-95.262633,16,
SHP_5_EB,38.927292,-95.262574,17,
SHP_5_EB,38.928144,-95.262579,18,
SHP_5_EB,38.928147,-95.260567,19,
SHP_5_EB,38.9427,-95.260508,20,
SHP_5_EB,38.942766,-95.250399,21,
SHP_5_EB,38.942854,-95.241824,22,
SHP_5_EB,38.942794,-95.235907,23,
SHP_5_EB,38.940128,-95.235907,24,
SHP_5_EB,38.94006,-95.23277,25,
SHP_5_EB,38.942765,-95.232735,26,
SHP_5_EB,38.942746,-95.230539,27,
SHP_5_EB,38.942706,-95.223414,28,
SHP_5_EB,38.942681,-95.216516,29,
SHP_5_EB,38.942728,-95.211359,30,
SHP_5_EB,38.942646,-95.209404,31,
SHP_5_EB,38.942581,-95.206988,32,
SHP_5_EB,38.942563,-95.204918,33,
SHP_5_EB,38.93925008,-95.20494819,34,
SHP_5_EB,38.939179,-95.199122,35,
SHP_5_EB,38.941478,-95.199165,36,
SHP_5_EB,38.941161,-95.204401,37,
SHP_5_EB,38.941136,-95.204905,38,
SHP_5_EB,38.942484,-95.204894,39,
SHP_5_EB,38.94331,-95.204926,40,
SHP_5_EB,38.945588,-95.204369,41,
SHP_5_EB,38.945513,-95.196633,42,
SHP_5_EB,38.9448,-95.191826,43,
SHP_5_EB,38.944616,-95.190839,44,
SHP_5_EB,38.944708,-95.189927,45,
SHP_5_EB,38.945108,-95.189005,46,
SHP_5_EB,38.945717,-95.189262,47,
SHP_5_EB,38.947253,-95.189048,48,
SHP_5_EB,38.947829,-95.188543,49,
SHP_5_EB,38.948308,-95.186709,50,
SHP_5_EB,38.947424,-95.182106,51,
SHP_5_EB,38.947377,-95.180608,52,
SHP_5_EB,38.946967,-95.180686,53,
SHP_5_EB,38.946531,-95.180825,54,
SHP_5_EB,38.944683,-95.181634,55,
SHP_5_WB,38.944683,-95.181634,1,
SHP_5_WB,38.944416,-95.181794,2,
SHP_5_WB,38.94417,-95.182037,3,
SHP_5_WB,38.943973,-95.182345,4,
SHP_5_WB,38.943836,-95.182702,5,
SHP_5_WB,38.943762,-95.18312,6,
SHP_5_WB,38.943769,-95.183548,7,
SHP_5_WB,38.943839,-95.183905,8,
SHP_5_WB,38.943907,-95.184101,9,
SHP_5_WB,38.944342,-95.185185,10,
SHP_5_WB,38.94443,-95.185452,11,
SHP_5_WB,38.944483,-95.185713,12,
SHP_5_WB,38.944509,-95.186049,13,
SHP_5_WB,38.944514,-95.187438,14,
SHP_5_WB,38.94454,-95.18796,15,
SHP_5_WB,38.94454,-95.18796,16,
SHP_5_WB,38.945108,-95.189005,17,
SHP_5_WB,38.944708,-95.189927,18,
SHP_5_WB,38.944616,-95.190839,19,
SHP_5_WB,38.9448,-95.191826,20,
SHP_5_WB,38.945513,-95.196633,21,
SHP_5_WB,38.945588,-95.204369,22,
SHP_5_WB,38.94331,-95.204926,23,
SHP_5_WB,38.942484,-95.204894,24,
SHP_5_WB,38.941136,-95.204905,25,
SHP_5_WB,38.942794,-95.204939,26,
SHP_5_WB,38.942805,-95.20699,27,
SHP_5_WB,38.942796,-95.209387,28,
SHP_5_WB,38.942728,-95.211359,29,
SHP_5_WB,38.942681,-95.216516,30,
SHP_5_WB,38.942706,-95.223414,31,
SHP_5_WB,38.942746,-95.230539,32,
SHP_5_WB,38.942765,-95.232735,33,
SHP_5_WB,38.94006,-95.23277,34,
SHP_5_WB,38.940128,-95.235907,35,
SHP_5_WB,38.942794,-95.235907,36,
SHP_5_WB,38.942854,-95.241824,37,
SHP_5_WB,38.942766,-95.250399,38,
SHP_5_WB,38.9427,-95.260508,39,
SHP_5_WB,38.928147,-95.260567,40,
SHP_5_WB,38.928152,-95.258391,41,
SHP_6_EB,38.973442,-95.307021,1,
SHP_6_EB,38.973156,-95.30699,2,
SHP_6_EB,38.971528,-95.306977,3,
SHP_6_EB,38.971528,-95.306977,4,
SHP_6_EB,38.971541,-95.297619,5,
SHP_6_EB,38.971545,-95.288321,6,
SHP_6_EB,38.971558,-95.281237,7,
SHP_6_EB,38.971567,-95.270258,8,
SHP_6_EB,38.971543,-95.268039,9,
SHP_6_EB,38.971551,-95.267282,10,
SHP_6_EB,38.97161,-95.266179,11,
SHP_6_EB,38.971761,-95.264995,12,
SHP_6_EB,38.9718883,-95.26425719,13,
SHP_6_EB,38.97232204,-95.26256204,14,
SHP_6_EB,38.972811,-95.260695,15,
SHP_6_EB,38.972922,-95.26044,16,
SHP_6_EB,38.97299,-95.260011,17,
SHP_6_EB,38.973078,-95.259187,18,
SHP_6_EB,38.973151,-95.257852,19,
SHP_6_EB,38.973166,-95.257227,20,
SHP_6_EB,38.9731027,-95.2546352,21,
SHP_6_EB,38.9731236,-95.2511054,22,
SHP_6_EB,38.9769353,-95.2511268,23,
SHP_6_EB,38.978812,-95.251126,24,
SHP_6_EB,38.978863,-95.250241,25,
SHP_6_EB,38.978862,-95.249965,26,
SHP_6_EB,38.976943,-95.249956,27,
SHP_6_EB,38.976946,-95.247599,28,
SHP_6_EB,38.973156,-95.247593,29,
SHP_6_EB,38.973159,-95.23827,30,
SHP_6_EB,38.973124,-95.236042,31,
SHP_6_EB,38.973116,-95.235324,32,
SHP_6_EB,38.973103,-95.235143,33,
SHP_6_EB,38.973049,-95.234976,34,
SHP_6_EB,38.972965,-95.234848,35,
SHP_6_EB,38.972883,-95.234778,36,
SHP_6_EB,38.972727,-95.234722,37,
SHP_6_EB,38.972617,-95.234709,38,
SHP_6_EB,38.967526,-95.234707,39,
SHP_6_EB,38.97127105,-95.23470819,40,
SHP_6_EB,38.967534,-95.234717,41,
SHP_6_EB,38.967525,-95.237112,42,
SHP_6_EB,38.970942,-95.237056,43,
SHP_6_WB,38.970942,-95.237056,1,
SHP_6_WB,38.97125,-95.237099,2,
SHP_6_WB,38.97125,-95.238279,3,
SHP_6_WB,38.973159,-95.23827,4,
SHP_6_WB,38.973156,-95.247593,5,
SHP_6_WB,38.976946,-95.247599,6,
SHP_6_WB,38.976943,-95.249956,7,
SHP_6_WB,38.978862,-95.249965,8,
SHP_6_WB,38.978863,-95.250241,9,
SHP_6_WB,38.978812,-95.251126,10,
SHP_6_WB,38.9769353,-95.2511268,11,
SHP_6_WB,38.9731236,-95.2511054,12,
SHP_6_WB,38.973166,-95.257227,13,
SHP_6_WB,38.973151,-95.257852,14,
SHP_6_WB,38.973078,-95.259187,15,
SHP_6_WB,38.97299,-95.260011,16,
SHP_6_WB,38.972922,-95.26044,17,
SHP_6_WB,38.972811,-95.260695,18,
SHP_6_WB,38.97232204,-95.26256204,19,
SHP_6_WB,38.9718883,-95.26425719,20,
SHP_6_WB,38.971761,-95.264995,21,
SHP_6_WB,38.97161,-95.266179,22,
SHP_6_WB,38.971551,-95.267282,23,
SHP_6_WB,38.971543,-95.268039,24,
SHP_6_WB,38.971567,-95.270258,25,
SHP_6_WB,38.971558,-95.281237,26,
SHP_6_WB,38.971545,-95.288321,27,
SHP_6_WB,38.971541,-95.297619,28,
SHP_6_WB,38.973584,-95.297622,29,
SHP_6_WB,38.973584,-95.297973,30,
SHP_6_WB,38.973617,-95.298276,31,
SHP_6_WB,38.973722,-95.298562,32,
SHP_6_WB,38.973836,-95.298774,33,
SHP_6_WB,38.973915,-95.299024,34,
SHP_6_WB,38.973941,-95.29929,35,
SHP_6_WB,38.973929,-95.304638,36,
SHP_6_WB,38.973935,-95.306692,37,
SHP_6_WB,38.973903,-95.30697,38,
SHP_6_WB,38.973863,-95.307139,39,
SHP_6_WB,38.973678,-95.307076,40,
SHP_6_WB,38.973442,-95.307021,41,
SHP_7_SB,38.970942,-95.237056,1,
SHP_7_SB,38.97125,-95.237099,2,
SHP_7_SB,38.971246,-95.234717,3,
SHP_7_SB,38.967534,-95.234717,4,
SHP_7_SB,38.963786,-95.234691,5,
SHP_7_SB,38.963786,-95.235914,6,
SHP_7_SB,38.950078,-95.235907,7,
SHP_7_SB,38.950141,-95.241822,8,
SHP_7_SB,38.942861,-95.241824,9,
SHP_7_SB,38.935564,-95.241829,10,
SHP_7_SB,38.935564,-95.246509,11,
SHP_7_SB,38.935514,-95.247102,12,
SHP_7_SB,38.935418,-95.247717,13,
SHP_7_SB,38.935244,-95.248288,14,
SHP_7_SB,38.934632,-95.249865,15,
SHP_7_SB,38.934498,-95.250294,16,
SHP_7_SB,38.934422,-95.250741,17,
SHP_7_SB,38.934402,-95.251193,18,
SHP_7_SB,38.934359,-95.256712,19,
SHP_7_SB,38.934426,-95.25736,20,
SHP_7_SB,38.934439,-95.257824,21,
SHP_7_SB,38.934418,-95.26055,22,
SHP_7_SB,38.934421,-95.2624,23,
SHP_7_SB,38.934435,-95.262708,24,
SHP_7_SB,38.934499,-95.263113,25,
SHP_7_SB,38.934627,-95.263543,26,
SHP_7_SB,38.93481,-95.263938,27,
SHP_7_SB,38.934996,-95.26424,28,
SHP_7_SB,38.935155,-95.264589,29,
SHP_7_SB,38.93526,-95.26497,30,
SHP_7_SB,38.935308,-95.265481,31,
