trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
TRIP_1_LOOP,6:03:00,6:03:00,7TH_VERMONT,1,,,,
TRIP_1_LOOP,,,7TH_NH_EB,2,,,,
TRIP_1_LOOP,,,9TH_CONN_SB,3,,,,
TRIP_1_LOOP,,,11TH_HASK_SB,4,,,,
TRIP_1_LOOP,,,13TH_HASK_SB,5,,,,
TRIP_1_LOOP,,,15TH_HASK_SB,6,,,,
TRIP_1_LOOP,,,HASK_LASALLE,7,,,,
TRIP_1_LOOP,6:11:00,6:11:00,19TH_HASK_EB,8,,,,
TRIP_1_LOOP,,,19TH_MAPLE_EB,9,,,,
TRIP_1_LOOP,,,19TH_HARP_EB,10,,,,
TRIP_1_LOOP,,,21TER_HARP_SB,11,,,,
TRIP_1_LOOP,6:15:00,6:15:00,23RD_HARP_SB,12,,,,
TRIP_1_LOOP,,,25TH_HARPER_SB,13,,,,
TRIP_1_LOOP,,,27TH_HARPER_SB,14,,,,
TRIP_1_LOOP,6:19:00,6:19:00,27TH_HASKELL_WB,15,,,,
TRIP_1_LOOP,,,23RD_HASK_NB1,16,,,,
TRIP_1_LOOP,6:23:00,6:23:00,23RD_HASK_NB2,17,,,,
TRIP_1_LOOP,,,HASK_PINECONE,18,,,,
TRIP_1_LOOP,,,19TH_DELA_WB,19,,,,
TRIP_1_LOOP,6:25:00,6:25:00,BARK_JOHN_NB,20,,,,
TRIP_1_LOOP,,,17TH_BARK_NB,21,,,,
TRIP_1_LOOP,,,15TH_CONN_NB,22,,,,
TRIP_1_LOOP,,,11TH_CONN_WB,23,,,,
TRIP_1_LOOP,,,10TH_VERMONT_NB,24,,,,
TRIP_1_LOOP,6:29:00,6:33:00,7TH_VERMONT,25,,,,
TRIP_3_FLEX,6:03:00,6:03:00,7TH_VERMONT,1,,2,3,
TRIP_3_FLEX,,,6TH_TENN_WB,2,,2,3,
TRIP_3_FLEX,,,6TH_INDIANA_WB,3,,2,3,
TRIP_3_FLEX,,,6TH_MAINE_WB,4,,2,3,
TRIP_3_FLEX,,,4TH_MAINE_WB,5,,2,3,
TRIP_3_FLEX,,,WDCRK,6,,2,3,
TRIP_3_FLEX,,,DELMONTE_NB,7,,2,3,
TRIP_3_FLEX,,,LAKEVIEW_EB,8,,2,3,
TRIP_3_FLEX,,,LAW_PAPER_CO_FLEX,9,,2,3,
TRIP_3_FLEX,,,LAKEVIEW_WB,10,,2,3,
TRIP_3_FLEX,,,NIOWA_KINGSTON_NB,11,,2,3,
TRIP_3_FLEX,,,NIOWA_RIVERRIDGE_NB,12,,2,3,
TRIP_3_FLEX,,,DELMONTE_SB_FLEX,13,,2,3,
TRIP_3_FLEX,,,NIOWA_RIVERRIDGE_SB,14,,2,3,
