stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10TH_VERMONT_NB,,10th & Vermont,SE corner of intersection,38.96552015,-95.23700272,FULL,,,,,
11TH_CONN_EB,,11th & Connecticut,South side of 11th west of Connecticut,38.96372452,-95.2325584,FULL,,,,,
11TH_CONN_WB,147,11th & Connecticut,North side of 11th west of Connecticut,38.96383923,-95.23271397,FULL,,,,,
11TH_HASK_SB,361,11th & Haskell,West side of Haskell south of 11th,38.963472,-95.223575,FULL,,,,,
11TH_INDIANA_SB,357,11th & Indiana,West side of Indiana south of 11th,38.96363964,-95.24303824,FULL,,,,,
11TH_LA_NB,286,11th & Louisiana,East side of Louisiana south of 11th,38.96367301,-95.24165422,FULL,,,,,
11TH_NH_SB,,11th & New Hampshire,West side of NH north of 11th,38.96395461,-95.23482262,FULL,,,,,
11TH_VERMONT_EB,143,11th & Vermont,South side of 11th @ Vermont west of Community Building,38.96369324,-95.23720935,FULL,http://lawrenceks.org/lprd/recreationfacilities/cb,,,,
13TH_HASK_SB,,13th & Haskell,West side of 13th north of Haskell,38.960058,-95.223582,FULL,,,,,
14TH_APPLE_WB,334,14th & Apple Lane,North side of 14th Street @ driveway to Orchard Corners Apts,38.95935582,-95.27735442,FULL,,,,,
14TH_MASS_SB,120,14th & Massachusetts,North of Footprints diagonal parking slots,38.95866337,-95.23608595,FULL,http://www.usd497.org/Schools/JuniorHigh/Central,,,,
15TH_CONN_NB,99,15th & Connecticut,East side of Connecticut north of 15th,38.95719503,-95.23278147,FULL,,,,,
15TH_GREENHALL_EB,371,15th & Green Hall,South side of 15th east of Green Hall,38.95698175,-95.25326677,FREE,http://www.ku.edu/,,,,1
15TH_HASK_SB,100,15th & Haskell,West side of Haskell north of 15th Street,38.9573005,-95.22363118,FULL,,,,,
17TH_BARK_NB,326,17th & Barker,East side of Barker north of 17th,38.95351379,-95.23276493,FULL,,,,,
17TH_MASS_SB,117,17th & Massachusetts,West side of Mass north of 17th,38.95393739,-95.23601308,FULL,,,,,
18TH_NAISMITH_EB,228,18th & Naismith,South side of 18th east of Naismith,38.95131721,-95.2505967,FREE,,,,,1
19TH_ANNA_WB,107,19th & Anna Drive,North side of 19th east of Anna Drive @ Stouffer Place,38.95006804,-95.25687733,FREE,http://www.ku.edu/,,,,
19TH_APPLECROFT_EB,106,19th & Applecroft Apts,South side of 19th in front of Applcroft Apts across from Anna Drive,38.94994787,-95.25713879,FULL,,,,,
19TH_CONSTANT_EB,253,19th & Constant Avenue,South side of 19th east of Constant Avenue,38.95004599,-95.26140561,FREE,http://www.ku.edu/,,,,1
19TH_CONSTANT_WB,367,19th & Constant Avenue,North side of 19th east of Constant Avenue,38.95012281,-95.26112258,FREE,http://www.ku.edu/,,,,
19TH_DELA_WB,97,19th & Delaware,North side of 19th before Delaware,38.95007369,-95.22824198,FULL,,,,,
19TH_HARP_EB,,19th & Harper,South side of 19th west of Harper,38.94993546,-95.2150238,FULL,,,,,
19TH_HASK_EB,102,19th & Haskell,South side of 19th east of Haskell,38.94987516,-95.22293078,FULL,,,,,
KENTUCKY_19TH_NB,115,19th & Kentucky Street,East side of Kentucky south of 19th.,38.94990206,-95.23820065,FULL, ,,,,
19TH_LA,,19th & Louisiana,North side of 19th west of Louisiana,38.950135,-95.241948,FULL,http://www.usd497.org/Schools/HighSchool/LawrenceHigh,,,,
19TH_MAPLE_EB,,19th & Maple Lane,South side of 19th before Maple Lane,38.94992393,-95.21900647,FULL,,,,,
19TH_MASS_NB,365,19th & Mass,East side of Mass north of 19th Street @ Cottin's Hardware,38.950684,-95.23584,FULL,,,,,
19TH_MASS_SB,116,19th & Mass @ DQ,West side of Mass. in front of DQ,38.95092103,-95.23600438,FULL,,,,,
19TH_NAISMITH_NB,372,19th & Naismith,East side of Naismith Dr in front of Naismith Hall,38.95112531,-95.25111705,FREE,http://www.ku.edu/,,,,1
19TH_NAISMITH_WB,348,19th & Naismith,North side of 19th west of Naismith @ Oliver Hall service driveway,38.95013116,-95.25218546,FREE,,,,,
19TH_NAISMITH_SB,351,19th & Naismith K10 Stop,West side of Naismith south of 19th @ K10 Connector bus stop,38.94947325,-95.25143355,FULL,,,,,
19TH_STEWART_NB,317,19th & Stewart,West side of Stewart Ave across from fire station,38.9494065,-95.25873989,FULL,,,,,
19TH_STEWART_SB,313,19th & Stewart,East side of Stewart Ave south of fire station driveway,38.94963595,-95.25887936,FULL,,,,,
19TH_TENN_WB,111,19th & Tennessee,North side of 19th east of Tennessee,38.95020186,-95.23925485,FULL,,,,,
20TH_LA_SB,112,20th & Louisiana,West side of Louisiana @ 20th in front of LHS,38.94860299,-95.24190284,FULL,http://www.usd497.org/Schools/HighSchool/LawrenceHigh,,,,
21ST_LA_EB,,21st & Louisiana,South side of 21st Street east of Louisiana between driveways,38.94650285,-95.24126366,FULL,,,,,
21ST_LA_SB,366,21st & Louisiana,West side of Louisiana north of 21st,38.94734463,-95.24189214,FULL,,,,,
21ST_NAISMITH_NB,109,21st & Naismith,East side of Naismith Dr south of 21st,38.94629001,-95.2500549,FULL, ,,,,
21ST_NAISMITH_SB,108,21st & Naismith,West side of Naismith Dr north of 21st,38.94654868,-95.2505967,FULL, ,,,,
21ST_OUSDAHL_EB,,21st & Ousdahl,SW corner of intersection,38.94631441,-95.25604114,FULL, ,,,,
21ST_OUSDAHL_NB,,21st & Ousdahl,SE corner of intersection,38.94629981,-95.25578633,FULL, ,,,,
21ST_STEWART_NB,316,21st & Stewart,East side of Stewart Ave north of 21st Street,38.94734137,-95.25905103,FULL, ,,,,
21ST_STEWART_SB,314,21st & Stewart,West side of Stewart Ave north of 21st Street,38.94742481,-95.25930315,FULL, ,,,,
21TER_HARP_SB,104,21st Terr & Harper,West side of Harper before 21st Street,38.94614523,-95.21424798,FULL,http://www.douglas-county.com/depts/mt/mt_fairgrounds.aspx,,,,
23RD_ALABAMA_WB,53,23rd & Alabama,North side of 23rd east of KFC's driveway,38.94289312,-95.24575915,FULL, ,,,,
23RD_HARP_EB,60,23rd & Harper,South side of 23rd east of Harper,38.94254612,-95.21353856,FULL, ,,,,
23RD_HARP_SB,59,23rd & Harper,West side of Harper on pole north of 23rd Street,38.94301161,-95.21427648,FULL, ,,,,
23RD_HARP_WB,58,23rd & Harper,North side of 23rd east of Harper,38.9427894,-95.21383148,FULL, ,,,,
23RD_HASK_EB,70,23rd & Haskell,South side of 23rd west of Haskell,38.94259675,-95.22389205,FULL, ,,,,
23RD_HASK_NB1,325,23rd & Haskell,East side of Haskell south of 23rd,38.94222084,-95.22320867,FULL,,,,,
23RD_HASK_NB2,72,23rd & Haskell,East side of Haskell north of 23rd @ shelter,38.94337,-95.223328,FULL, ,,,,1
23RD_HASK_WB,71,23rd & Haskell,North side of 23rd east of Haskell,38.94279516,-95.22320017,FULL, ,,,,
23RD_LA_EB,54,23rd & Louisiana,South side of 23rd west of Louisiana in front of Wendy's,38.94273965,-95.24242354,FULL, ,,,,
23RD_LA_SB,52,23rd & Louisiana,West side of Louisiana north of 23rd at entrance to Louisiana Purchase,38.94357605,-95.24190198,FULL, ,,,,
23RD_LA_WB,61,23rd & Louisiana,North side of 23rd east of Louisiana,38.94294791,-95.24124761,FULL, ,,,,
23RD_NAISMITH_NB,41,23rd & Naismith,East side of Naismith Dr south of Dillons entrance,38.94192586,-95.25040895,FULL, ,,,,
23RD_NAISMITH_SB,110,23rd & Naismith,West side of Naismith Dr across from Dillons entrance,38.94198427,-95.25055379,FULL, ,,,,
23RD_OUSDAHL_EB,44,23rd & Ousdahl,South side of 23rd by Perkins,38.94263399,-95.25486889,FULL, ,,,,
23RD_OUSDAHL_NB,46,23rd & Ousdahl,East side of Ousdahl north of 23rd @ bus shelter,38.94308931,-95.25578097,FULL, ,,,,1
23RD_OUSDAHL_SB,47,23rd & Ousdahl,West side of Ousdahl north of 23rd,38.94293911,-95.25596872,FULL, ,,,,
23RD_OUSDAHL_WB,45,23rd & Ousdahl,North side of 23rd east of Ousdahl by wheelchair landing pad,38.94280498,-95.25559388,FULL, ,,,,
23RD_POND_EB,92,23rd & Ponderosa,South side of 23rd west of Ponderosa,38.94257367,-95.21960514,FULL, ,,,,
23RD_SILICON_WB,93,23rd & Silicon,North side of 23rd east of Silicon by wheelchair landing pad,38.94278572,-95.21928375,FULL, ,,,,
23RD_DILLONS,42,23rd @ Dillon's,Shelter located between Dillon's driveways,38.94266787,-95.24818793,FULL, ,,,,1
24TH_ALABAMA_NB,300,24th & Alabama,East side of Alabama south of 24th ,38.94119152,-95.2464661,FULL, ,,,,
24TH_KASOLD,345,24th & Kasold,West side of Kasold south of 24th Street,38.940538,-95.279259,FULL,,,,,
24TH_OUSDAHL_EB,38,24th & Ousdahl,South side of 24th Street west of Ousdahl,38.94094118,-95.25580555,FULL, ,,,,
24TH_OUSDAHL_WB,37,24th & Ousdahl,North side of 24th Street west of Ousdahl,38.94094952,-95.25617033,FULL, ,,,,
24TH_RIDGE_NB,290,24th & Ridge Ct,East side of Ridge Court south of 24th,38.94023749,-95.25809839,FULL, ,,,,
24TH_WAK_NB,,24th & Wakarusa,East side of Wakarusa approx. 50' south of 24th,38.94014117,-95.30715876,FULL, ,,,,
24THPL_CROSSGATE,322,24th Place & Crossgate,South side of 24th Place west of Crossgate at The Legends,38.94084396,-95.29033721,FULL,,,,,
24THPL_INVERNESS,321,24th Place & Inverness,South side of 24th Place east of Inverness at The Grove,38.94071044,-95.29558361,FULL,,,,,
24THPL_KASOLD,28,24th Place & Kasold,East side of Kasold south of 24th Place,38.93964311,-95.27900806,FULL, ,,,,
24TH_EB,39,24th Street,South side of 24th Street west of west entrance to Campus Court @ Naismith,38.94077428,-95.2535525,FULL, ,,,,
24TH_WB,40,24th Street,North side of 24th Street between entrances to Eddingham Place,38.94093283,-95.25342911,FULL, ,,,,
24TH_TERR_WB,385,24th Terr @ Crestline,West side of Crestline Dr north of 24th Terrace ,38.93966733,-95.26536047,FULL, ,,,,
25TH_BELLEHAVEN_WB,299,25th & Belle Haven Dr,North side of 25th at Belle Haven,38.93880904,-95.24390727,FULL, ,,,,
25TH_FRANKLIN,332,25th & Franklin,East side of Franklin Road north of 25th Street,38.93997609,-95.19533336,FULL,,,,,
25TH_HARPER_SB,324,25th & Harper,West side of Harper north of 25th Street,38.9388662,-95.21438956,FULL,,,,,
25TH_IOWA_NB,69,25th & Iowa,East side of Iowa south of 25th in front of Applebee's,38.93829843,-95.26040451,FULL, ,,,,
25TH_IOWA_SB,66,25th & Iowa,North side of Iowa approx. 100 north of 25th by Holiday Plaza,38.93903276,-95.26067502,FULL, ,,,,
25TH_KASOLD,,25th & Kasold,West side of Kasold @ 25th,38.93724278,-95.27926222,FULL, ,,,,
25TH_MELROSE_EB,315,25th & Melrose,South side of 25th west of Melrose Pl,38.93860041,-95.26349276,FULL, ,,,,
25TH_RIDGE_EB,,25th & Ridge Ct,South side of 25th west of Ridge Ct,38.93859207,-95.25839657,FULL, ,,,,
25TH_RIDGE_NB,48,25th & Ridge Ct,East side of Ridge Court south of 25th,38.93856703,-95.25811762,FULL, ,,,,
25TH_RIDGE_SB,49,25th & Ridge Ct,West side of Ridge Court north of 25th,38.93876732,-95.25833756,FULL, ,,,,
26TH_KASOLD,27,26th & Kasold,East side of Kasold south of 26th,38.93650715,-95.27905137,FULL, ,,,,
27TH_AL_WB,23,27th & Alabama Street,North side of 27th west of driveway of 912 W 27th,38.93558102,-95.24600178,FULL, ,,,,
27TH_HARPER_SB,281,27th & Harper,West side of Harper north of 27th Street,38.93559486,-95.21471143,FULL,http://lawrenceks.org/lprd/parks/prairiepark,,,,
27TH_HASKELL_WB,282,27th & Haskell,North side of 27th east of Haskell,38.93549472,-95.22316575,FULL,,,,,
27TH_HOLCOM_EB,16,27th & Holcom,South side of 27th west of the church driveway across from Holcom,38.93524351,-95.26865434,FULL,http://lawrenceks.org/lprd/parks/holcompark,,,,
27TH_HOLCOM_WB,15,27th & Holcom,North side of 27th @ shelter in front of Holcom Recreation Center,38.93537497,-95.26887084,FULL,http://lawrenceks.org/lprd/parks/holcompark,,,,1
27TH_INV_EB,32,27th & Inverness,South side of 27th west of Inverness,38.93545361,-95.29831275,FULL, ,,,,
27TH_INV_WB,33,27th & Inverness,North side of 27th west of Inverness,38.93534512,-95.29821888,FULL, ,,,,
27TH_IOWA_EB,17,27th & Iowa,South side of 27th west of Iowa Street (in the mid-section of grass),38.93433704,-95.26143726,FULL, ,,,,
27TH_IOWA_NB,68,27th & Iowa,East side of Iowa approx. 145' south of intersection where sidewalk ends,38.93388708,-95.26041365,FULL, ,,,,
27TH_IOWA_SB,67,27th & Iowa,West side of Iowa approx. 115' north of 27th,38.93487156,-95.26069204,FULL, ,,,,
27TH_IOWA_WB1,19,27th & Iowa,North side of 27th east of 27th & Iowa intersection,38.93450707,-95.26014696,FULL, ,,,,
27TH_IOWA_WB2,24,27th & Iowa,North side of 27th west of 27th & Iowa intersection,38.934503, -95.261542,FULL, ,,,,
27TH_NAISMITH_EB,21,27th & Naismith Valley Park,South side of 27th west of Naismith Valley Park bridge,38.93432649,-95.25240242,FULL,http://lawrenceks.org/lprd/parks/naismithvalley,,,,
27TH_NAISMITH_WB,22,27th & Naismith Valley Park,North side of 27th west of Naismith Valley Park bridge,38.93445049,-95.2524187,FULL,http://lawrenceks.org/lprd/parks/naismithvalley,,,,
27TH_OUSDAHL_EB,20,27th & Ousdahl,South side of 27th west of Ousdahl,38.93432183,-95.25696067,FULL, ,,,,
27TH_OUSDAHL_WB,,27th & Ousdahl,North side of 27th @ Ousdahl,38.9344035,-95.25669724,FULL, ,,,,
27TH_RIDGE_EB,18,27th & Ridge Ct,South side of 27th west of Ridge Court,38.9343568,-95.25800496,FULL, ,,,,
27TH_RIDGE_SB,,27th & Ridge Ct,West side of Ridge Court north of 27th,38.93452789,-95.25794595,FULL, ,,,,
27TH_SCOTTS_EB,284,27th & Scottsdale,South side of 27th west of Scottsdale,38.93530757,-95.30384615,FULL, ,,,,
27TH_SCOTTS_WB,34,27th & Scottsdale,North side of 27th west of Scottsdale,38.93547239,-95.30366108,FULL, ,,,,
27TH_LA,,27th Terrace at Louisiana,South side of 27th Terr @ Louisiana,38.93421112,-95.24199296,FULL, ,,,,
2ND_LOCUST_EB,195,2nd & Locust,South side of Locust across from Visitor's Center,38.97772788,-95.23436458,FULL,http://lawrenceks.org/lprd/recreationfacilities/depot,,,,
2ND_MCDONALD_FLEX,,2nd & MacDonald Drive,Call 785-312-7054 to schedule ride,38.98056559,-95.25762195,FULL, ,,,,
2ND_MICH_EB_FLEX,,2nd & Michigan,South side of 2nd west of Michigan,38.98046106,-95.25135264,FULL, ,,,,
2ND_MICH_NB,305,2nd & Michigan,East side of Michigan south of 2nd St,38.98043875,-95.25108486,FULL, ,,,,
2ND_MICH_SB,294,2nd & Michigan,West side of Michigan north of 2nd St,38.98064308,-95.25127798,FULL, ,,,,
2ND_NORTH_NB,205,2nd & North,East side of N 2nd south of North St,38.985957, -95.234066,FULL, ,,,,1
2ND_NORTH_SB,206,2nd & North,West side of N 2nd @ shelter before Lawrence Battery,38.98672871,-95.23398058,FULL, ,,,,1
2ND_WISC_FLEX,,2nd & Wisconsin,Call 785-312-7054 to schedule ride,38.98044756,-95.25460695,FULL, ,,,,
31ST_4WHEEL_WB,9,31st & 4 Wheel Drive,North side of 31st east of 4 Wheel Drive,38.9282369,-95.26391366,FULL, ,,,,
31ST_ATCH_WB,,31st & Atchison,North side of 31st east of Atchison,38.92819794,-95.2764874,FULL, ,,,,
31ST_HARRISON_WB,10,31st & Harrison,North side of 31st east of Harrison,38.92820709,-95.26847247,FULL, ,,,,
31ST_IOWA_EB,3,31st & Iowa,South side of 31st @ bus cut out by World Market,38.92796824,-95.2583571,FULL, ,,,,
31ST_LAWRENCE_WB,13,31st & Lawrence Ave,North side of 31st east of Lawrence Ave,38.92821828,-95.27291365,FULL, ,,,,
31ST_NIEDER,4,31st & Nieder,South side of 31st west of Nieder,38.92803646,-95.26275387,FULL, ,,,,
31ST_OUSDAHL_SB,2,31st & Ousdahl,West side of Ousdahl half-way between 31st and 33rd,38.92644473,-95.25519401,FULL, ,,,,
COTTONWOOD,11,31st @ Cottonwood,South side of 31st before Cottonwood's main entrance,38.92804291,-95.26943184,FULL, ,,,,
LAKEVIEW_MANOR,336,31st @ Lakeview Manor,South side of 31st approx.,38.92802915,-95.27304754,FULL, ,,,,
31ST_AT_RES_EB,12,31st @ The Reserve,South side of 31st after entrance to the Reserve,38.92803926,-95.26671357,FULL, ,,,,
33RD_IOWA_WB,,33rd & Iowa,North side of 33rd east of Iowa,38.92465395,-95.2600364,FULL, ,,,,
33RD_KOHLS_WB,,33rd & Kohl's,North side of 33rd @ shelter east of Kohl's driveway,38.92462422,-95.25750212,FULL, ,,,,1
3RD_LYON_EB,333,3rd & Lyon,South side of Lyon west of 3rd,38.982351,-95.2333284,FULL, ,,,,
3RD_LYON_WB,204,3rd & Lyon,North side of Lyon west of 3rd,38.98246185,-95.23371472,FULL, ,,,,
4TH_LOCUST_EB,197,4th & Locust,South side of Locust @ 4th,38.97776517,-95.23132252,FULL, ,,,,
4TH_LOCUST_WB,,4th & Locust,North side of Locust @ 4th,38.97787025,-95.23112132,FULL, ,,,,
4TH_MAINE_EB,151,4th & Maine,South side of 4th before Maine Street,38.97688309,-95.24792884,FULL, ,,,,
4TH_MAINE_WB,150,4th & Maine,North side of 4th after turn from Maine,38.97699736,-95.24799829,FULL, ,,,,
4TH_MICH_NB,,4th & Michigan,East side of Michigan south of 4th Street,38.976847,-95.251014,FULL,,,,,
4TH_MICH_SB,,4th & Michigan,West side of Michigan north of 4th Street,38.97703,-95.251197,FULL,,,,,
5TH_CALI_FLEX,,5th & California,Call 785-312-7054 to schedule ride,38.97516631,-95.25715292,FULL,,,,,
5TH_LOCUST_EB,,5th & Locust,Call 785-312-7054 to schedule ride,38.97775316,-95.22910148,FULL, ,,,,
5TH_LOCUST_WB,198,5th & Locust,"North side of Locust by ""no parking"" sign @ 5th",38.97789254,-95.22929397,FULL, ,,,,
5TH_MICH_FLEX,,5th & Michigan,Call 785-312-7054 to schedule ride,38.97489941,-95.25139153,FULL,,,,,
5TH_MICH_NB,,5th & Michigan,East side of Michigan south of 5th St,38.97497155,-95.25105804,FULL, ,,,,
5TH_MICH_SB,296,5th & Michigan,West side of Michigan north of 5th St,38.97512586,-95.25125116,FULL, ,,,,
6TH_COLO_WB,179,6th & Colorado,North side of 6th before Colorado. ,38.97326878,-95.25537499,FULL, ,,,,
6TH_TENN_WB,141,6th & Constant Park,North side of 6th by Constant Park east of Tennessee,38.97326299,-95.23927588,FULL, ,,,,
6TH_CRESTLINE_EB,184,6th & Crestline,South side of 6th west of Crestline ,38.97144476,-95.26746981,FULL, ,,,,
