stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
45,,Q St & Blackwell Dr NE,,41.205424,-96.150111,,,,
46,,Q St & Blackwell Dr SW,,41.20527,-96.150253,,,,
54,,Q St & Millard South High SW,,41.205247,-96.145889,,,,
66,,Q St & Walnut Grove Dr SW,,41.205297,-96.141121,,,,
67,,Q St & Walnut Grove Dr NE,,41.205469,-96.140811,,,,
70,,144th & Q St NE,,41.205538,-96.138594,,,,
71,,144th & Q St SW,,41.20524,-96.138974,,,,
86,,99th & Q St SW,,41.205231,-96.067699,,,,
87,,40th & Farnam NW,,41.257868,-95.973435,,,,
88,,138th & Q St SE,,41.205043,-96.129041,,,,
92,,42nd & Mason NW,,41.249644,-95.975932,,,,
94,,97th (Hy Vee Exit) & Q St SW,,41.205248,-96.063908,,,,
96,,136th (South) & Q St NE,,41.205303,-96.126098,,,,
99,,36th & Farnam SW,,41.257689,-95.966192,,,,
101,,38th Ave & Farnam NE,,41.257855,-95.970368,,,,
104,,42nd & Emile NW,,41.254308,-95.975848,,,,
109,,110th & I St SW,,41.216115,-96.084484,,,,
110,,136th (South) & Q St SW,,41.205122,-96.1263,,,,
111,,42nd & Pacific SW,,41.248717,-95.975894,,,,
115,,136th (North) & Q St NE,,41.205252,-96.121531,,,,
116,,132nd/135th & Q St NE,,41.205231,-96.119456,,,,
117,,42nd & Pierce SW,,41.247771,-95.975928,,,,
121,,132nd & Q St SW,,41.205068,-96.119634,,,,
125,,93rd & Q St SW,,41.205256,-96.056301,,,,
128,,129th & Q St NE,,41.20525,-96.115558,,,,
131,,91st & Q St SE,,41.205242,-96.054477,,,,
133,,78th & Cass SW,,41.263199,-96.037674,,,,
134,,Q St & Oaks Ln NE,,41.205268,-96.112172,,,,
138,,42nd & Dewey Ave SE,,41.255974,-95.975721,,,,
139,,Oaks Ln/ Deauville Dr & Q St SW,,41.205114,-96.112314,,,,
140,,42nd & Dewey Ave NW,,41.256118,-95.975877,,,,
148,,107th Ave & Q St SE,,41.205241,-96.079062,,,,
149,,38th & Farnam NE,,41.257857,-95.968937,,,,
152,,Turner Blvd & Farnam SW,,41.257628,-95.957946,,,,
158,,Q St & Magnolia NE,,41.20535,-96.104744,,,,
163,,27th Ave & Harney SW,,41.256563,-95.952443,,,,
