route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
3310,2,216744,Downtown,0,22738,33424
3310,2,216745,Downtown,0,22739,33424
3310,2,216746,Downtown,0,22738,33424
3310,2,216747,Downtown,0,22739,33424
3310,2,216748,Downtown,0,22738,33424
3310,2,216749,Downtown,0,22739,33424
3310,2,216750,Downtown,0,22738,33424
3310,2,216751,Downtown,0,22739,33424
3310,2,216752,Downtown,0,22738,33424
3310,2,216753,Downtown,0,22740,33424
3310,2,216754,Downtown,0,22739,33424
3310,2,216755,Downtown,0,22738,33424
3310,2,216756,Downtown,0,22740,33424
3310,2,216757,Downtown,0,22739,33424
3310,2,216758,Downtown,0,22738,33424
3310,2,216759,Downtown,0,22740,33424
3310,2,216760,Downtown,0,22739,33424
3310,2,216761,Downtown,0,22738,33424
3310,2,216762,Downtown,0,22740,33424
3310,2,216763,Downtown,0,22739,33424
3310,2,216764,Downtown,0,22738,33424
3310,2,216765,Downtown,0,22740,33424
3310,2,216766,Downtown,0,22739,33424
3310,2,216767,Downtown,0,22738,33424
3310,2,216768,Downtown,0,22740,33424
3310,2,216769,Downtown,0,22739,33424
3310,2,216770,Downtown,0,22738,33424
3310,2,216771,Downtown,0,22740,33424
3310,2,216772,Downtown,0,22739,33424
3310,2,216773,Downtown,0,22738,33424
3310,2,216774,Downtown,0,22740,33424
3310,2,216775,Downtown,0,22739,33425
3310,2,216776,Downtown,0,22738,33424
3310,2,216777,Downtown,0,22741,33424
3310,2,216778,Downtown,0,22738,33424
3310,2,216779,Downtown,0,22741,33424
3310,2,216780,Downtown,0,22738,33424
3310,2,216781,Downtown,0,22741,33424
3310,2,216782,Downtown,0,22738,33424
3310,2,216783,Downtown,0,22741,33424
3310,2,216784,Downtown,0,22738,33424
3310,2,216785,Downtown,0,22741,33424
3310,2,216786,Downtown,0,22738,33424
3310,2,216787,Downtown,0,22741,33425
3310,2,216788,Westroads Transit Center,1,22738,33429
3310,2,216789,Westroads Transit Center,1,22739,33429
3310,2,216790,Westroads Transit Center,1,22738,33426
3310,2,216791,Westroads Transit Center,1,22739,33426
3310,2,216792,Westroads Transit Center,1,22738,33426
3310,2,216793,Westroads Transit Center,1,22739,33426
