trip_id,start_time,end_time,headway_secs,exact_times
31,6:00:00,9:00:00,1800,1
31,9:00:00,16:00:00,3600,1
31,16:00:00,18:30:00,1800,1
56,6:00:00,12:00:00,3600,1
57,6:30:00,9:30:00,3600,1
58,15:30:00,18:30:00,3600,1
19,16:30:00,18:00:00,1800,1
60,6:30:00,8:30:00,1800,1
33,16:30:00,18:00:00,1800,1
5,6:10:00,7:10:00,1800,1
20,6:40:00,7:40:00,1800,1
8,6:00:00,9:00:00,1800,1
8,9:00:00,16:00:00,3600,1
8,16:00:00,18:30:00,1800,1
44,13:00:00,19:00:00,3600,1
63,16:00:00,19:00:00,1800,1
64,6:30:00,8:30:00,1800,1
67,16:00:00,19:00:00,1800,1
68,6:30:00,8:30:00,1800,1
71,16:00:00,19:00:00,1800,1
72,6:30:00,8:30:00,1800,1
75,16:00:00,19:00:00,1800,1
