route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,2,Route 2: Greensboro Express,,3,http://www.partnc.org/route-2/,C16C97,FFFFFF
2,1,3,Route 3: High Point Express,,3,http://www.partnc.org/route-3/,6C6CC1,FFFFFF
3,1,4,Route 4: Alamance Burlington Express,,3,http://www.partnc.org/route4express/,00c1cc,FFFFFF
4,1,6,Route 6: Surry County Express,,3,http://www.partnc.org/route-6/,5500FF,FFFFFF
5,1,9,Route 9: Davidson Business 85 Express,,3,http://partnc.org/route-9/,07875C,FFFFFF
6,1,13,Route 13: Yadkin County Express,,3,http://www.partnc.org/route-13/,A6D151,FFFFFF
7,1,14,Route 14: Davie County Express,,3,http://partnc.org/route-14/,E0B636,FFFFFF
8,1,1,Route 1:Winston Salem Express,,3,http://www.partnc.org/route-1/,0080FF,FFFFFF
9,1,10,Route 10: Randolph Express,,3,http://partnc.org/route-10/,00D5FF,FFFFFF
10,1,12,Route 12: North Forsyth County Express,,3,http://partnc.org/route-12/,51D1A6,FFFFFF
11,1,17,Route 17: Winston-Salem Kernsville Shuttle,,3,http://www.partnc.org/route-17-18/,FF5500,FFFFFF
12,1,18,Route 18: Greensboro Kernersville Shuttle,,3,http://www.partnc.org/route-17-18/,D17C51,FFFFFF
13,1,5,Route 5: NC Amtrak Connector,,3,http://www.partnc.org/route-5/,E036E0,FFFFFF
14,1,8,Route 8: Davidson US 52 Express,,3,http://www.partnc.org/route-8/,1B46F0,FFFFFF
18,1,22,Shuttle 22: SW Shuttle - Palladium,,3,http://www.partnc.org/airportshuttle/,FF0000,FFFFFF
17,1,21,Shuttle 21: NE Shuttle - Airport Area,,3,http://www.partnc.org/airportshuttle/,8DB4E2,FFFFFF
16,1,20,Shuttle 20: NW Shuttle - Pleasant Ridge,,3,http://www.partnc.org/airportshuttle/,ffcd33,FFFFFF
19,1,23,Shuttle 23: SE Shuttle - Piedmont Centre,,3,http://www.partnc.org/airportshuttle/,00B050,FFFFFF
