trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,17:05:00,17:05:00,104,0,WFU Baptist Medical Center (Meads Building),0,0,
1,17:15:00,17:15:00,102,1,Miller Street Market,0,0,
1,,,63,2,BB&T,0,0,
1,17:21:00,17:21:00,9,3,Southern Community Bank,0,0,
1,17:25:00,17:25:00,88,4,Medical Park On Maplewood,0,0,
1,,,61,5,Forsyth Medical Center,0,0,
1,17:31:00,17:31:00,36,6,Yadkinville Park & Ride,0,0,
1,17:54:00,17:54:00,110,7,Ashbury Road Park &Ride,0,0,
1,18:05:00,18:05:00,8,8,,0,0,
2,13:56:00,13:59:00,47,0,HiTran Terminal,0,0,
2,14:00:00,14:03:00,43,1,High Point Medical Center,0,0,
2,14:05:00,14:05:00,48,2,High Point Park & Ride,0,0,
2,14:19:00,14:19:00,50,3,MLK & Stadium,0,0,
2,14:37:00,14:37:00,56,4,Winston-Salem Transportation Center,0,0,
2,14:45:00,14:45:00,104,5,,0,0,
4,17:13:00,17:15:00,104,0,MLK & Stadium,0,0,
4,17:20:00,17:20:00,57,1,High Point Park & Ride,0,0,
4,17:38:00,17:38:00,50,2,High Point Medical Center,0,0,
4,17:52:00,17:52:00,49,3,HiTran Terminal,0,0,
4,17:58:00,17:59:00,43,4,High Point Amtrack Station,0,0,
4,18:00:00,18:00:00,47,5,,0,0,
5,6:10:00,6:10:00,42,0,PART Regional Hub,0,0,
5,6:27:00,6:30:00,75,1,Harris Teeter Kernersville,0,0,
5,6:40:00,6:40:00,42,2,PART Regional Hub,0,0,
8,6:00:00,6:00:00,41,0,E. Washington & Elm St (West),0,0,
8,,,31,1,Four Seasons Mall,0,0,
8,,,32,2,Four Seasons Mall,0,0,
8,,,100,3,Four Seasons Mall,0,0,
8,,,38,4,Four Seasons Mall,0,0,
8,6:10:00,6:10:00,53,5,PART Regional Hub,0,0,
9,7:35:00,7:35:00,60,0,Randolph Community College,0,0,
9,7:37:00,7:37:00,82,1,Randolph Hospital,0,0,
9,7:44:00,7:44:00,83,2,North Asheboro Park & Ride,0,0,
9,7:50:00,7:50:00,69,3,Randleman Park & Ride,0,0,
9,8:03:00,8:03:00,105,4,Freeman Mill & Coliseum,0,0,
9,8:19:00,8:19:00,279,5,UNCG (Stirling St Elliott Univ Center),0,0,
9,8:25:00,8:25:00,96,6,Wesley Long,0,0,
9,8:32:00,8:32:00,108,7,Women's Hospital,0,0,
9,8:36:00,8:36:00,106,8,Moses Cone,0,0,
9,8:44:00,8:44:00,67,9,Greensboro Central Library,0,0,
9,8:50:00,8:50:00,20,10,Greensboro Depot,0,0,
9,8:55:00,8:55:00,41,11,,0,0,
10,17:05:00,17:05:00,104,0,WFU Baptist Medical Center (Meads Building),0,0,
10,17:15:00,17:15:00,102,1,Forsyth Medical Center,0,0,
10,17:22:00,17:22:00,36,2,Clemmons Park & Ride,0,0,
10,17:32:00,17:32:00,25,3,Tanglewood Crossing,0,0,
10,17:45:00,17:45:00,92,4,Mocksville Park & Ride,0,0,
10,18:00:00,18:00:00,65,5,Mocksville Park & Ride,0,0,
11,6:50:00,6:50:00,65,0,Tanglewood Crossing,0,0,
11,7:05:00,7:05:00,92,1,Clemmons Park & Ride,0,0,
11,7:17:00,7:17:00,25,2,Forsyth Medical Center,0,0,
11,7:27:00,7:27:00,35,3,WFU Baptist Medical Center (MRI Building),0,0,
11,7:37:00,7:37:00,101,4,Winston-Salem Transportation Center,0,0,
11,7:45:00,7:45:00,104,5,Winston-Salem Transportation Center,0,0,
12,7:00:00,7:00:00,104,0,MLK Jr. Dr. & Stadium,0,0,
12,7:05:00,7:05:00,57,1,High Point Park & Ride,0,0,
12,7:23:00,7:23:00,50,2,High Point Medical Center,0,0,
12,7:37:00,7:37:00,49,3,HiTran Terminal,0,0,
12,7:43:00,7:43:00,43,4,High Point Amtrack Station,0,0,
12,7:45:00,7:45:00,47,5,High Point Amtrack Station,0,0,
13,12:00:00,12:00:00,104,0,MLK Jr. Dr. & Stadium,0,0,
13,12:05:00,12:05:00,57,1,High Point Park & Ride,0,0,
13,12:23:00,12:23:00,50,2,High Point Medical Center,0,0,
13,12:37:00,12:37:00,49,3,HiTran Terminal,0,0,
13,12:43:00,12:43:00,43,4,High Point Amtrack Station,0,0,
13,12:45:00,12:45:00,47,5,High Point Amtrack Station,0,0,
15,9:00:00,9:00:00,47,0,HiTran Terminal,0,0,
15,9:02:00,9:02:00,43,1,High Point Medical Center,0,0,
15,9:05:00,9:05:00,48,2,High Point Park & Ride,0,0,
15,9:19:00,9:19:00,50,3,MLK & Stadium,0,0,
15,9:37:00,9:37:00,56,4,Winston-Salem Transportation Center,0,0,
15,9:45:00,9:45:00,104,5,,0,0,
8,6:27:00,6:30:00,75,6,Four Seasons Mall,0,0,
8,6:38:00,6:38:00,53,7,Freeman Mill & Lovette (East),0,0,
8,,,37,8,W. Florida & Freeman Mill (East),0,0,
8,,,99,9,Edgeworth & East Washington (East),0,0,
8,,,46,10,E. Washington & Elm St (East),0,0,
8,,,30,11,Greensboro Depot,0,0,
8,6:57:00,7:00:00,41,12,E. Washington & Elm St (West),0,0,
17,8:10:00,8:10:00,95,0,UNC Hospitals (Manning Drive),0,0,
17,8:15:00,8:15:00,289,1,S Columbia St at Carrington Hall,0,0,
17,,,296,2,UNC Sitterson Hall,,,
17,,,288,3,UNC Abernathy Hall,0,0,
17,8:20:00,8:20:00,292,4,N Columbia St & W Rosemary St,0,0,
17,8:22:00,8:22:00,286,5,Martin Luther King Jr Blvd at YMCA,0,0,
17,,,294,6,Mebane Cone Health Park & Ride,,,
17,8:43:00,8:45:00,278,7,Alamance Community College,0,0,
17,8:55:00,8:55:00,277,8,Graham Park & Ride,0,0,
17,9:05:00,9:05:00,40,9,Alamance Regional Medical Center,0,0,
17,9:16:00,9:16:00,291,10,TA Truck Stop,0,0,
17,9:26:00,9:26:00,91,11,Greensboro Depot,0,0,
17,9:50:00,9:50:00,41,12,,0,0,
18,16:45:00,16:45:00,97,0,Novant Medical Center,0,0,
18,16:50:00,16:50:00,71,1,Forsyth Medical Center,0,0,
18,16:55:00,16:55:00,35,2,Stratford Village At Newbridge Bank,0,0,
18,17:00:00,17:00:00,89,3,Miller Street Market,0,0,
18,,,64,4,WFU Baptist Medical Center (Meads Building),0,0,
18,17:05:00,17:05:00,102,5,Winston-Salem Transportation Center,0,0,
18,17:20:00,17:20:00,104,6,Hickory Tree Park & Ride Lot,0,0,
18,17:38:00,17:38:00,44,7,North Lexington Park & Ride,0,0,
18,17:53:00,17:53:00,70,8,South Lexington Park & Ride,0,0,
18,18:00:00,18:00:00,87,9,,0,0,
19,16:30:00,16:30:00,98,0,Harris Teeter Kernersville,0,0,
19,16:40:00,16:40:00,42,1,W-S Transit Center,0,0,
19,17:00:00,17:00:00,98,2,Harris Teeter Kernersville,0,0,
20,6:40:00,6:40:00,42,0,W-S Transit Center,0,0,
20,7:00:00,7:00:00,98,1,Harris Teeter Kernersville,0,0,
20,7:10:00,7:10:00,42,2,W-S Transit Center,0,0,
21,6:30:00,6:30:00,60,0,Randolph Community College,0,0,
21,6:32:00,6:32:00,82,1,Randolph Hospital,0,0,
21,6:39:00,6:39:00,83,2,North Asheboro Park & Ride,0,0,
21,6:45:00,6:45:00,69,3,Randleman Park & Ride,0,0,
21,6:58:00,6:58:00,105,4,Freeman Mill & Coliseum,0,0,
21,7:14:00,7:14:00,279,5,UNCG Elliot Center (Stirling St.),0,0,
21,7:20:00,7:20:00,96,6,Womens Health Center,0,0,
21,7:27:00,7:27:00,108,7,Wesley Long Medical Center,0,0,
21,7:31:00,7:31:00,106,8,Moses Cone Medical Center,0,0,
21,7:39:00,7:39:00,67,9,Greensboro Central Library,0,0,
21,7:45:00,7:45:00,20,10,Greensboro Depot,0,0,
21,7:50:00,7:50:00,41,11,,0,0,
23,6:40:00,6:40:00,87,0,North Lexington Park & Ride,0,0,
23,6:47:00,6:47:00,70,1,Hickory Tree Park & Ride Lot,0,0,
23,7:02:00,7:02:00,44,2,5th & Chestnut,0,0,
23,,,6,3,Winston-Salem Transportation Center,0,0,
23,7:20:00,7:20:00,104,4,3rd & Liberty,0,0,
23,,,2,5,WFU Baptist Medical Center (MRI Building),0,0,
23,7:30:00,7:30:00,101,6,Miller Street Market,0,0,
23,,,63,7,BB&T,0,0,
23,7:35:00,7:35:00,9,8,Forsyth Medical Center,0,0,
23,7:40:00,7:40:00,36,9,Novant Medical Center,0,0,
23,7:45:00,7:45:00,71,10,VA Hospital,0,0,
23,7:50:00,7:50:00,97,11,VA Hospital,0,0,
24,16:30:00,16:30:00,59,0,Forsyth Medical Center,0,0,
24,16:34:00,16:34:00,35,1,Southern Community Bank,0,0,
24,16:40:00,16:40:00,88,2,Stratford Village At Newbridge Bank,0,0,
24,,,89,3,Suntrust Bank,0,0,
24,,,275,4,WFU Baptist Medical Center (Meads Building),0,0,
24,17:03:00,17:03:00,102,5,Winston-Salem Transportation Center,0,0,
26,15:20:00,15:20:00,97,0,Novant Medical Center,0,0,
26,15:24:00,15:24:00,79,1,Truliant Credit Center,0,0,
26,15:30:00,15:30:00,94,2,McDonald's,0,0,
26,15:34:00,15:34:00,59,3,Forsyth Medical Center,0,0,
26,15:39:00,15:39:00,35,4,Medical Park On Maplewood,0,0,
26,,,61,5,Winston-Salem Health Care Center,0,0,
26,15:49:00,15:49:00,88,6,Stratford Village At Newbridge Bank,0,0,
26,,,89,7,Miller Street Market,0,0,
