stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1,104,5th & Church, ,36.1002045,-80.2432709, , ,0
2,100,Federal Building, ,36.0969391,-80.243782, , ,0
3,101,4th & Greene, ,36.0973625,-80.2545853, , ,0
4,102,4th & Spring, ,36.097641,-80.2523422, , ,0
5,103,4th & Chestnut, ,36.0986595,-80.2422638, , ,0
6,105,5th & Chestnut, ,36.1003532,-80.2421036, , ,0
7,106,Archdale Park & Ride, ,35.9036522,-79.9524078, , ,0
8,107,Ashbury Road Park & Ride, ,36.1163597,-80.795166, , ,0
9,109,BB&T, ,36.0949593,-80.2781448, , ,0
10,110,BB&T 68 N, ,36.0388832,-79.9620438, , ,0
11,111,CVS Highway68 S, ,35.9921837,-79.9991302, , ,0
12,112,Centennial & E. Farris (North), ,35.9730339,-80.0015793, , ,0
13,113,Centennial & E. Farris (South), ,35.9728699,-80.0018234, , ,0
14,114,Centennial & Hawthorne (North), ,35.9636078,-80.0021133, , ,0
15,115,Centennial & Hawthrone (South), ,35.9637604,-80.0022812, , ,0
16,116,Centennial & Monelue HPU (South), ,35.9685669,-80.0019836, , ,0
17,117,Centennial & Monelue Hpu (North), ,35.9693565,-80.001709, , ,0
18,118,Centennial & Norwood (North), ,35.9817963,-80.0009308, , ,0
19,119,Centennial & Norwood (South), ,35.9820213,-80.0010529, , ,0
20,120,Greensboro Central Library, ,36.0748215,-79.7867508, , ,0
21,121,Central Library, ,36.0748024,-79.7864532, , ,0
22,122,Centre Stage Shopping Center, ,35.9928627,-79.9980698, , ,0
23,123,Charlotte & Cenntenial (South), ,35.9793434,-80.0015488, , ,0
24,124,Chick-Fil-A & Highway 68 N, ,36.0351563,-79.9638443, , ,0
25,125,Clemmons Park & Ride, ,36.031498,-80.3820038, , ,0
26,126,Davidson Community College, ,35.8661499,-80.1814728, , ,0
27,127,Deep River Friends Meeting Center, ,36.0310593,-79.9675064, , ,0
28,128,Deep River Shopping Center, ,36.032402,-79.9666748, , ,0
30,130,E. Washington & Elm St (East), ,36.0701294,-79.7906494, , ,0
31,131,E. Washington & Elm St (West), ,36.0702782,-79.7899017, , ,0
32,133,Edgeworth & East Washington (West), ,36.0704842,-79.7949295, , ,0
33,134,3rd & Main, ,36.0978737,-80.2437363, , ,0
34,135,Food Lion Charlotte & Centennial (North), ,35.9790726,-80.0013504, , ,0
35,136,Forsyth Medical Center, ,36.0762253,-80.2981033, , ,0
36,137,Forsyth Medical Center, ,36.0762291,-80.2985001, , ,0
