service_id,date,exception_type
1092A1973,20160101,2
1099A1973,20160101,1
1092A1973,20161124,2
1017A2891,20160704,1
1043A2891,20160101,2
1621A2897,20160101,1
1376A2493,20160704,1
1043A2891,20160905,2
1621A2897,20160905,1
1099A1973,20160905,1
1091A1973,20160704,2
1015A2891,20160704,2
1092A1973,20160905,2
1016A2891,20160704,2
1091A1973,20161124,2
1015A2891,20161124,2
1016A2891,20160101,2
1016A2891,20161124,2
1376A2493,20160905,1
1091A1973,20160101,2
1015A2891,20160101,2
1017A2891,20160905,1
1379A2493,20160905,2
1091A1973,20151225,2
1015A2891,20151225,2
1016A2891,20151225,2
1091A1973,20160905,2
1099A1973,20160704,1
1017A2891,20160101,1
1015A2891,20160905,2
1043A2891,20160704,2
1621A2897,20160704,1
1376A2493,20160101,1
1379A2493,20151225,2
1016A2891,20160905,2
1376A2493,20161124,1
1092A1973,20160704,2
1017A2891,20161124,1
1379A2493,20161124,2
1017A2891,20151225,1
1379A2493,20160101,2
1376A2493,20151225,1
1093A1973,20160101,1
1620A2897,20161124,2
1381A2493,20161124,2
1097A1973,20160905,2
1620A2897,20160101,2
1381A2493,20160101,2
1093A1973,20161124,1
1620A2897,20151225,2
1381A2493,20151225,2
1093A1973,20151225,1
1097A1973,20160101,2
1620A2897,20160905,2
1381A2493,20160905,2
1097A1973,20161124,2
1093A1973,20160905,1
1097A1973,20151225,2
1097A1973,20160704,2
1620A2897,20160704,2
1381A2493,20160704,2
1093A1973,20160704,1
1099A1973,20151225,1
1043A2891,20151225,2
1621A2897,20151225,1
1379A2493,20160704,2
1092A1973,20151225,2
1043A2891,20161124,2
1621A2897,20161124,1
1099A1973,20161124,1
