agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes
213,1315,,XP4-NASH Express,"NASH Express is a direct link between Downtown Charleston, Tanger Outlet Center, and the Charleston International Airport.",3,http://www.ridecarta.com/wp-content/uploads/2015/10/90609_CARTA_Map_RT4r1.pdf,F55013,,0,60
213,1235,10,Rivers Avenue,Service from the Downtown Charleston Visitor's Center through North Charleston along Rivers Avenue to Trident Medical Center.,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-Rt10.pdf,00773e,000000,0,
213,1246,102,North Neck,Local route from Transfer center downtown to SuperStop(N Chas),3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-Rt102.pdf,f98427,000006,0,
213,1247,103,Leeds Avenue,SuperStop(N Chas) to county offices on Leeds Ave,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA_RT103_100415.pdf,fcb930,000007,0,
213,1248,104,Montague Ave,"Local route serving areas between the North Charleston SuperStop, Montague Ave., Mall Dr., and International Blvd.  Destinations include Park Circle, North Charleston City Hall, and Wal-Mart, and Tanger Outlets.  ",3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-RT104.pdf,654711,000008,0,
213,1236,11,Dorchester Rd / Airport,"Mary St. Transfer Center in downtown Charleston to Tanger Outlets, and the Charleston International Airport.",3,http://www.ridecarta.com/wp-content/uploads/2015/10/90619_CARTA_Map_RT11r1-2.pdf,979d53,000000,0,
213,1237,12,Upper Dorchester/Ashley Phosphate Road,SuperStop(Cosgrove and Rivers) to Northwoods Mall area via Dorchester Rd. and Ashley Phosphate Rd.,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-Rt12.pdf,105fac,000000,0,45
213,1238,13,Remount Road,SuperStop to Remount Rd,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-Rt13.pdf,ec208d,000000,0,60
213,1239,20,King Street / Citadel,Services Citadel Midtown and King Street,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-Rt20.pdf,830024,ffffff,0,
213,1251,203,Medical Shuttle,Service between the Hagood Parking Lot and the Riley Ballpark to Medical District at Jonathan Lucas St.,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-Rt203.pdf,28367f,ffffff,0,
213,1240,21,Rutledge/Grove,"Serves the Canterbury House, the Medical Centers, the Wagner Terrace neighborhood, and the Joseph Floyd Manor ",3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-Rt21.pdf,77899d,000000,0,
213,1252,210,C of C/Aquarium Shuttle - DASH,Free loop along Calhoun St from College of Charleston to Aquarium (all DASH routes stop at Visitor Center),3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-DASH-Map.pdf,f89c1c,000000,0,20
213,1253,211,Meeting/King - DASH,Free Trolley Route through downtown Charleston historic district (all DASH routes stop at Visitors' Center),800,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-DASH-Map.pdf,70c6a2,000001,0,
213,1254,213,Lockwood/Calhoun - DASH,"Free route serving destinations from the Charleston Visitors Center to TTC Palmer Campus, Medical District, VA Hospital, Brittlebank Park along Calhoun St. and Cannon St.",800,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-DASH-Map.pdf,9c8dc3,000002,0,50
213,1241,30,Savannah Highway,Citadel Mall to 4 Corners of Law(Meeting and Broad),3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA_RT30_100415.pdf,c70b48,000001,0,
213,1255,301,St. Andrews,"Transfer center downtown through West Ashley on St Andrews Blvd. to Citadel Mall, Castlewood Dr., and Bon Secours St. Francis Hospital.",3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Map-RT301.pdf,535eae,000003,0,90
213,1242,31,Folly Road,Transfer Center downtown to James Island,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA_RT31_100415.pdf,018651,000002,0,90
213,1243,32,North Bridge,SuperStop(N Chas) to Bee's Ferry Road(West Ashley),3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA_Rt32.pdf,f03f37,000003,0,
213,1244,40,Mt. Pleasant,Transfer Center downtown follows 17N to Wando High School,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-MapRT40.pdf,4d84c4,000004,0,
213,1245,41,Coleman Blvd,"Transfer Center in downtown Charleston to Coleman Blvd. in Mt. Pleasant, including stops at Patriots Point and Waterfront Park.",3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-MapRT41.pdf,00aec5,000005,0,
213,1256,XP1,James Island - North Charleston,Express Service from Kmart on Rivers Ave N Chas(Park and Ride) through downtown to James Is Walmart (Park and Ride),3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Express-Rt_1_2_3.pdf,ee341a,000004,0,
213,1257,XP2,Mt. Pleasant - West Ashley,Express Service from the Oakland Wal-Mart (Park and Ride)and the Wando Crossing Wal-Mart in Mt. Pleasant (Park and Ride) with stops in downtown Charleston to Citadel Mall (Park and Ride)in West Ashley.,3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Express-Rt_1_2_3.pdf,7ac142,000005,0,
213,1258,XP3,Dorchester Rd / Downtown,"Express Service from Summerville (Oakbrook Shopping Center) to downtown Charleston (Visitors' Center, MUSC & CofC)",3,http://www.ridecarta.com/wp-content/uploads/2015/10/CARTA-Express-Rt_1_2_3.pdf,0079C1,ffffff,0,
