timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
1,1252,0,20140817,20170101,0,0,0,0,0,1,1,C of C-Aquarium Shuttle - DASH,"Effective beginning August 17, 2014",MultiDirection,horizontal
2,1252,0,20140817,20170101,1,1,1,1,1,0,0,C of C-Aquarium Shuttle - DASH,"Effective beginning August 17, 2014",MultiDirection,horizontal
3,1245,0,20140101,20170101,0,0,0,0,0,1,0,Coleman Blvd,Year-round calendar,Outbound,horizontal
4,1245,0,20140101,20170101,1,1,1,1,1,0,0,Coleman Blvd,Year-round calendar,Outbound,horizontal
5,1245,1,20140101,20170101,0,0,0,0,0,1,0,Coleman Blvd,Year-round calendar,Inbound,horizontal
6,1245,1,20140101,20170101,1,1,1,1,1,0,0,Coleman Blvd,Year-round calendar,Inbound,horizontal
7,1236,0,20140101,20170101,0,0,0,0,0,0,1,Dorchester Rd - Airport,Year-round calendar,Outbound,horizontal
8,1236,0,20140101,20170101,0,0,0,0,0,1,0,Dorchester Rd - Airport,Year-round calendar,Outbound,horizontal
9,1236,0,20140101,20170101,1,1,1,1,1,0,0,Dorchester Rd - Airport,Year-round calendar,Outbound,horizontal
10,1236,1,20140101,20170101,0,0,0,0,0,0,1,Dorchester Rd - Airport,Year-round calendar,Inbound,horizontal
11,1236,1,20140101,20170101,0,0,0,0,0,1,0,Dorchester Rd - Airport,Year-round calendar,Inbound,horizontal
12,1236,1,20140101,20170101,1,1,1,1,1,0,0,Dorchester Rd - Airport,Year-round calendar,Inbound,horizontal
13,1258,0,20150104,20170101,1,1,1,1,1,0,0,Dorchester Rd - Downtown,Effective beginning 1-4-15,Outbound,horizontal
14,1258,1,20150104,20170101,1,1,1,1,1,0,0,Dorchester Rd - Downtown,Effective beginning 1-4-15,Inbound,horizontal
15,1242,0,20140101,20170101,0,0,0,0,0,0,1,Folly Road,Year-round calendar,Outbound,horizontal
16,1242,0,20140101,20170101,0,0,0,0,0,1,0,Folly Road,Year-round calendar,Outbound,horizontal
17,1242,0,20140101,20170101,1,1,1,1,1,0,0,Folly Road,Year-round calendar,Outbound,horizontal
18,1242,1,20140101,20170101,0,0,0,0,0,0,1,Folly Road,Year-round calendar,Inbound,horizontal
19,1242,1,20140101,20170101,0,0,0,0,0,1,0,Folly Road,Year-round calendar,Inbound,horizontal
20,1242,1,20140101,20170101,1,1,1,1,1,0,0,Folly Road,Year-round calendar,Inbound,horizontal
21,1256,0,20140101,20170101,1,1,1,1,1,0,0,James Island - North Charleston,Year-round calendar,Outbound,horizontal
22,1256,1,20140101,20170101,1,1,1,1,1,0,0,James Island - North Charleston,Year-round calendar,Inbound,horizontal
23,1239,0,20140101,20170101,0,0,0,0,0,0,1,King Street - Citadel,Year-round calendar,Outbound,horizontal
24,1239,0,20140101,20170101,0,0,0,0,0,1,0,King Street - Citadel,Year-round calendar,Outbound,horizontal
25,1239,0,20140101,20170101,1,1,1,1,1,0,0,King Street - Citadel,Year-round calendar,Outbound,horizontal
26,1239,1,20140101,20170101,0,0,0,0,0,0,1,King Street - Citadel,Year-round calendar,Inbound,horizontal
27,1239,1,20140101,20170101,0,0,0,0,0,1,0,King Street - Citadel,Year-round calendar,Inbound,horizontal
28,1239,1,20140101,20170101,1,1,1,1,1,0,0,King Street - Citadel,Year-round calendar,Inbound,horizontal
29,1247,0,20140101,20170101,0,0,0,0,0,1,0,Leeds Avenue,Year-round calendar,Outbound,horizontal
30,1247,0,20140101,20170101,1,1,1,1,1,0,0,Leeds Avenue,Year-round calendar,Outbound,horizontal
