route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1248,1015A2891,47496A1015B2891,,Montague Avenue,1,,0,2
1248,1016A2891,48244A1016B2891,,Montague Avenue,0,,1,2
1235,1017A2891,132203A1017B2891,,Rivers Avenue,1,,2,2
1239,1016A2891,48002A1016B2891,,King Street/Citadel,1,,3,2
1246,1016A2891,48202A1016B2891,,North Neck,0,,4,0
1246,1016A2891,48187A1016B2891,,North Neck,1,,5,0
1235,1015A2891,47026A1015B2891,,Rivers Avenue,1,,6,2
1235,1016A2891,132059A1016B2891,,Rivers Avenue,0,,7,2
1244,1016A2891,48159A1016B2891,,Mt. Pleasant,0,,8,2
1253,1091A1973,58062A1091B1973,,Meeting/King,0,211_Weekday-A,9,1
1248,1016A2891,48235A1016B2891,,Montague Avenue,1,,10,2
1235,1015A2891,47003A1015B2891,,Rivers Avenue,0,,11,2
1235,1017A2891,132151A1017B2891,,Rivers Avenue,0,,7,2
1244,1017A2891,48620A1017B2891,,Mt. Pleasant,1,,12,2
1246,1016A2891,48193A1016B2891,,North Neck,1,,5,0
1244,1015A2891,47384A1015B2891,,Mt. Pleasant,0,,8,2
1253,1091A1973,58043A1091B1973,,Meeting/King,0,211_Weekday-A,9,1
1239,1015A2891,47214A1015B2891,,King Street/Citadel,0,,13,2
1237,1379A2493,87874A1379B2493,,Upper Dorchester/AFB,0,,14,2
1243,1015A2891,47334A1015B2891,,North Bridge,0,,15,2
1244,1016A2891,48131A1016B2891,,Mt. Pleasant,1,,12,2
1235,1015A2891,47036A1015B2891,,Rivers Avenue,1,,6,2
1242,1016A2891,48085A1016B2891,,Folly Road,0,,16,2
1246,1016A2891,48189A1016B2891,,North Neck,1,,5,0
1255,1016A2891,48454A1016B2891,,St. Andrews,1,,17,2
1235,1016A2891,132187A1016B2891,,Rivers Avenue,1,,18,2
1246,1016A2891,48190A1016B2891,,North Neck,1,,5,0
1246,1016A2891,48196A1016B2891,,North Neck,1,,5,0
1239,1016A2891,47974A1016B2891,,King Street/Citadel,0,,13,2
1237,1379A2493,140620A1379B2493,,Upper Dorchester/AFB,1,,19,2
1240,1016A2891,48035A1016B2891,,Rutledge/Grove,0,,20,2
1236,1015A2891,47078A1015B2891,,Dorchester Rd/Airport,1,,21,2
1246,1015A2891,47437A1015B2891,,North Neck,0,,4,0
1258,1379A2493,102308A1379B2493,,Dorchester Rd.,0,,22,2
1235,1015A2891,46996A1015B2891,,Rivers Avenue,0,,11,2
1239,1015A2891,47233A1015B2891,,King Street/Citadel,0,,13,2
1236,1017A2891,48506A1017B2891,,Dorchester Rd/Airport,1,,23,2
1235,1015A2891,46980A1015B2891,,Rivers Avenue,0,,11,2
1248,1016A2891,48238A1016B2891,,Montague Avenue,1,,10,2
1251,1015A2891,47603A1015B2891,,Medical Shuttle,0,,24,2
1255,1379A2493,87899A1379B2493,,St. Andrews,1,,17,2
